template_id	check	status	detail
below_planning_floor_labeled_pairs	forbidden_pattern:\bthe rule passed\b	PASS	absent
below_planning_floor_labeled_pairs	forbidden_pattern:\bthe rule failed\b	PASS	absent
below_planning_floor_labeled_pairs	forbidden_pattern:\bkilled the lead\b	PASS	absent
below_planning_floor_labeled_pairs	forbidden_pattern:\bconfirmed response\b	PASS	absent
below_planning_floor_labeled_pairs	forbidden_pattern:\bauc\s*=	PASS	absent
below_planning_floor_labeled_pairs	forbidden_pattern:\bp\s*=	PASS	absent
below_planning_floor_labeled_pairs	forbidden_pattern:\beffect size\s*=	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bvalidated\b	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bvalidation succeeded\b	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bvalidation failed\b	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bthe rule passed\b	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bthe rule failed\b	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bkilled the lead\b	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bconfirmed response\b	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bauc\s*=	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\bp\s*=	PASS	absent
metadata_or_pairing_contradiction	forbidden_pattern:\beffect size\s*=	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bvalidated\b	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bvalidation succeeded\b	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bvalidation failed\b	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bthe rule passed\b	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bthe rule failed\b	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bkilled the lead\b	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bconfirmed response\b	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bauc\s*=	PASS	absent
primary_module_coverage_block	forbidden_pattern:\bp\s*=	PASS	absent
primary_module_coverage_block	forbidden_pattern:\beffect size\s*=	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bvalidated\b	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bvalidation succeeded\b	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bvalidation failed\b	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bthe rule passed\b	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bthe rule failed\b	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bkilled the lead\b	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bconfirmed response\b	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bauc\s*=	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\bp\s*=	PASS	absent
batch_or_confounder_metadata_needed	forbidden_pattern:\beffect size\s*=	PASS	absent
