sequence	section	phase	artifact_id	script	present_in_readme	script_in_regression_suite	script_in_smoke_bundle	covered_by_drift_fixture	source	score_values_read
14	handoff_manifest	underpowered_language	small_n_language	scripts/v46_small_n_conclusion_language_table.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
15	handoff_manifest	underpowered_language	analyzable_pair_confidence_envelope	scripts/v46_analyzable_pair_confidence_envelope.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
16	handoff_manifest	repair_handoff	repair_request_templates	scripts/v46_return_repair_request_templates.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
17	handoff_manifest	repair_handoff	partial_label_repair_prioritization	scripts/v46_partial_label_repair_prioritization.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
18	handoff_manifest	repair_handoff	first30_repair_template_coverage	scripts/v46_first30_repair_template_coverage_linter.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
19	handoff_manifest	report_guard	result_report_safe_class_linter	scripts/v46_result_report_safe_class_linter.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
20	handoff_manifest	report_guard	report_header_metadata_linter	scripts/v46_report_header_metadata_linter.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
21	handoff_manifest	report_guard	report_header_repair_template_coverage	scripts/v46_report_header_repair_template_coverage.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
22	handoff_manifest	report_guard	safe_class_report_template_readiness	scripts/v46_safe_class_report_template_readiness.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
23	handoff_manifest	operator_navigation	operator_transcript_fixture	scripts/v46_operator_transcript_fixture.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
24	handoff_manifest	operator_navigation	returned_package_quickstart_readme	scripts/v46_returned_package_quickstart_readme.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
25	handoff_manifest	operator_navigation	returned_package_doc_crosslink_linter	scripts/v46_returned_package_doc_crosslink_linter.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
26	handoff_manifest	operator_navigation	returned_package_dependency_graph	scripts/v46_returned_package_dependency_graph.py	true	true	true	true	analysis/v46_returned_package_handoff_bundle_manifest/returned_package_handoff_bundle_manifest.tsv	false
27	receipt_manifest_examples	receipt_to_command_plan	schema_fail_missing_required_column		true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
28	receipt_manifest_examples	receipt_to_command_plan	schema_fail_raw_path		true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
29	receipt_manifest_examples	receipt_to_command_plan	scored_canonical_to_plan	scripts/v46_returned_package_command_order_planner.py	true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
30	receipt_manifest_examples	receipt_to_command_plan	scored_noncanonical_to_adapter_branch	scripts/v46_returned_package_command_order_planner.py	true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
31	receipt_manifest_examples	receipt_to_command_plan	partial_label_to_plan_with_label_classifier	scripts/v46_returned_package_command_order_planner.py	true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
32	receipt_manifest_examples	receipt_to_command_plan	unscoreable_author_run_aggregate_to_preflight_only	scripts/v46_returned_package_command_order_planner.py	true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
33	receipt_manifest_examples	receipt_to_command_plan	terms_blocked_after_shape	scripts/v46_returned_package_command_order_planner.py	true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
34	receipt_manifest_examples	receipt_to_command_plan	unknown_score_like_filename_stops_at_schema		true	true	true	true	analysis/v46_receipt_manifest_to_command_plan_handoff/receipt_manifest_to_command_plan_handoff.tsv	false
