gene	sources_present	manual_route	manual_blocker	closure_text	wave81_call	wave81_score	direct_perturbation	direct_perturbation_detail	foundation_model_support_w81	foundation_model_detail_w81	model_support_contexts_w57	model_strong_contexts_w57	wave57_call	best_model_context	best_model_z	best_model_projection	reachability_score	intervention_class	chembl_activity_count	chembl_target_id	manual_prior_blocked	cross_autoimmune_score_w83	genetic_breadth_disease_count	genetic_breadth_diseases	qtl_breadth_disease_count	wave62_strong_l2g_disease_count	wave62_strong_qtl_coloc_disease_count	ms_genetic_score	ms_expr_delta	ms_expr_p	positive_disease_count	positive_diseases	negative_disease_count	retained_residual_disease_count	strict_residual_disease_count	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	ibd_response_fdr10	efferocytosis_screen_call	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	wave91_call	wave83_call	wave62_call	has_direct_perturbation	has_foundation_support	has_nonexpression_anchor	ms_anchor	cross_disease_anchor	direction_or_response_support	reachable_modality	prior_or_safety_blocked	wrong_direction_or_undruggable	expression_only	wave103_score	wave103_gate_count	wave103_missing_gates	wave103_call	wave103_call_priority
IFIH1	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					2.0	intracellular_other	0.0	CHEMBL4739862	False	4.5	8.0	Psoriasis;T1D;UC	0.0	3.0	0.0	0.0	0.0762356111761359	0.838617040488483	1.0	ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.20262703901492	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.4	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
SMAD3	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	5.5	9.0	Crohn;UC	2.0	2.0	2.0	0.0	0.1727800690299723	0.3984778468953826	1.0	type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.1322635948967291	0.9971256078463696		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.4	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
FUT2	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  | 		0.0	0.0		0.0		0.0	0.0					2.0	intracellular_other	0.0	CHEMBL4105777	False	7.0	7.0	Crohn;Psoriasis;T1D	3.0	3.0	3.0	0.0	0.1409120181722947	0.8796651389642105	2.0	psoriasis;type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.8162109185504594	0.920009505703422		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.3	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
IRF4	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	6.0	7.0	Celiac;Psoriasis;RA;SLE;T1D	1.0	5.0	1.0	0.0	0.0444471151552097	0.910671703211036	2.0	Sjogren syndrome;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.2885985298055133	0.920009505703422		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.3	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
CARMIL1	wave81;wave57;wave83;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 	NO_GO_NO_PERTURBATION_SUPPORT	6.0	0.0		0.0		0.0	0.0	NO_GO_MODEL_SCREEN	ra_classical_monocyte	0.1977890091551095	-0.0483775013546821	0.0	intracellular_other	0.0		False	6.5	6.0	Celiac;RA;T1D	0.0	3.0	0.0	0.0	0.0	1.0	3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0			1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.2	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
PRDM1	wave81;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 	NO_GO_NO_PERTURBATION_SUPPORT	6.0	0.0		0.0		0.0	0.0					2.0	intracellular_other	0.0	CHEMBL5214860	False	6.5	6.0	Crohn;SLE;UC	0.0	3.0	0.0	0.0	0.0	0.9031141115364548	3.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.1612087595947517	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.2	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
ADGRL2	wave83;wave37			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	3.5	9.0	AITD;AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	0.0	0.0	0.0	0.0	0.0	0.3626107499842872	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.2570789252556844	0.9965506589785832		NO_GO_NOT_REACHABLE_FIRST_CLASS		False	False	True	False	True	False	False	False	False	False	7.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
ANKRD30A	wave83			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	3.5	8.0	AITD;AS;Celiac;Crohn;Psoriasis;SLE;T1D;UC	0.0	0.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0			1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS		False	False	True	False	True	False	False	False	False	False	7.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
FLT3	wave83;wave37;wave62			no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					3.5	intracellular_other	0.0		False	5.3	4.0	Celiac;SLE	5.0	2.0	5.0	0.0	0.0	0.4934309667954975	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.4168754385214263	0.920009505703422		NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	True	False	False	False	7.0	3	ms_anchor;direction_or_response_support	NO_GO_NO_MS_ANCHOR	4
JAZF1	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	4.0	8.0	RA	1.0	1.0	1.0	0.4558970423902871	0.0	0.0395106029515515	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.1112357326294046	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
MUC19	wave83;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	3.5	8.0	Crohn;Psoriasis	0.0	2.0	0.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0			1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
NKX2-3	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	4.5	9.0	AS;Crohn;UC	2.0	3.0	2.0	0.0	0.0	1.0	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.254878432708058	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
RASGRP1	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	4.5	8.0	RA;T1D	2.0	2.0	2.0	0.0	0.5212959991010622	0.6478618581959924	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.8465157060520434	0.9971256078463696		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
UBASH3A	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	5.0	8.0	Celiac;RA;T1D	3.0	3.0	3.0	0.0	0.2675423987063128	0.7745582533677123	0.0		0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.1630924505952561	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	7.0	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
PRKCB	wave81;wave57;wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 	NO_GO_NO_PERTURBATION_SUPPORT	4.0	0.0		0.0		0.0	0.0	NO_GO_MODEL_SCREEN	ra_nonclassical_monocyte	0.1739910467319653	-0.0461350674660127	1.0	intracellular_other	0.0		False	5.0	7.0	UC	1.0	1.0	1.0	0.0	0.2060386471848883	0.4904213807858716	1.0	Sjogren syndrome	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0175002117259774	1.0		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	6.9	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
SKAP2	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	5.5	7.0	T1D	2.0	1.0	2.0	0.1297453939914703	0.0	0.6379850360845152	1.0	Crohn disease	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.0760065398180036	0.9971256078463696		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	6.9	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
ABTB2	wave81;wave37			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	5.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	-0.1477415366285122	0.8826494351185098	2.0	type 1 diabetes mellitus;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8670671833295949	0.920009505703422				True	False	True	False	False	True	False	False	False	False	6.8	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
BANK1	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	6.0	6.0	SLE	1.0	1.0	1.0	0.0	0.0	0.2391155920390936	2.0	Crohn disease;ulcerative colitis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.204655563348066	0.9965506589785832		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	6.8	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
CCDC121	wave81;wave37			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	0.4429917115479078	0.2380875945504296	2.0	psoriasis;type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.6827272084298491	0.920009505703422				True	False	True	False	False	True	False	False	False	False	6.8	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
CDKAL1	wave83;wave37;wave62			weak_reachability;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  | 		0.0	0.0		0.0		0.0	0.0					0.0	intracellular_other	0.0		False	5.5	6.0	Crohn;Psoriasis;T1D	0.0	3.0	0.0	0.0	0.0	0.4020741645624514	2.0	Crohn disease;type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.6201397342161272	0.920009505703422		NO_GO_NOT_REACHABLE_FIRST_CLASS	NO_GO_WAVE62_TARGET_RESOLUTION	False	False	True	False	True	False	False	False	False	False	6.8	2	ms_anchor;direction_or_response_support;reachable_modality	NO_GO_NO_MS_ANCHOR	4
CHST11	wave81;wave37;wave62			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	1.0	0.0	0.0	-0.2506943649676447	0.1533386150844086	2.0	Crohn disease;Sjogren syndrome	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8502554113258909	0.9971256078463696			NO_GO_WAVE62_TARGET_RESOLUTION	True	False	True	False	False	True	False	False	False	False	6.8	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
CHUK	wave81;wave37;wave62			 |  |  |  |  | 	NO_GO_PERTURBATION_FIRST_BLOCKED	3.0	1.0	wave15:weak_selective_target_suppression:weak_followup_only	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	1.0	0.0	0.2237878248965508	0.3211760938016935	2.0	Crohn disease;psoriasis	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	0.3121510024535778	0.920009505703422			NO_GO_WAVE62_TARGET_RESOLUTION	True	False	True	False	False	True	False	False	False	False	6.8	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
FBXO16	wave81;wave37			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	-999.0	1.0	2.0	Crohn disease;Sjogren syndrome	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.783729666809502	0.920009505703422				True	False	True	False	False	True	False	False	False	False	6.8	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
MED16	wave81;wave37			 |  |  |  |  | 	NO_GO_PERTURBATION_FIRST_BLOCKED	3.0	1.0	wave15:selective_target_suppression:strong_mechanistic_comparator_not_druggable	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	-0.0601508185563499	0.8241295054203107	2.0	Crohn disease;type 1 diabetes mellitus	0.0	0.0	0.0	0.0	0.0	0.0	UNRESOLVED	-0.3024523320159538	0.920009505703422				True	False	True	False	False	True	False	False	False	False	6.8	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
RECQL4	wave81;wave37			 |  |  |  |  | 	PARK_PERTURBATION_FIRST_CANDIDATE	6.0	1.0	wave37:KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.0		0.0	0.0					0.0		0.0		False	0.0	0.0		0.0	0.0	0.0	0.0	-0.1913098158967807	0.8338579124203143	2.0	Crohn disease;psoriasis	0.0	0.0	0.0	0.0	0.0	0.0	KO_ENHANCES_EFFEROCYTOSIS_NEGATIVE_REGULATOR	0.8545654357562431	0.9971256078463696				True	False	True	False	False	True	False	False	False	False	6.8	2	ms_anchor;cross_disease_anchor;reachable_modality	NO_GO_NO_MS_ANCHOR	4
