source_file	gene	present	row_json	note
results_v3/wave37_gse212008_crispr_efferocytosis_screen/gene_level_screen_scores.tsv	IFI30	1	"{""contrast_fdr"": ""0.920009505703422"", ""contrast_p_wilcoxon"": ""0.25"", ""efficient_consistent_positive"": ""False"", ""efficient_fdr"": ""0.9052095024317247"", ""efficient_p_wilcoxon"": ""0.375"", ""gene_symbol"": ""IFI30"", ""median_efficient_lfc"": ""-0.3216891245223269"", ""median_efficient_minus_noneater_lfc"": ""-0.24465894347146855"", ""median_noneater_lfc"": ""0.1348614162787738"", ""modules"": ""lipid_lysosomal_apc"", ""n_sgrna"": ""4"", ""noneater_consistent_positive"": ""False"", ""noneater_fdr"": ""1.0"", ""noneater_p_wilcoxon"": ""0.875"", ""s1_median_efficient_lfc"": ""-0.14529288022276599"", ""s1_median_noneater_lfc"": ""0.09762119842037187"", ""s3_median_efficient_lfc"": ""-0.5773273411982149"", ""s3_median_noneater_lfc"": ""0.06362042064885287"", ""screen_call"": ""UNRESOLVED"", ""tracked_candidate"": ""False""}"	
results_v3/wave37_gse212008_crispr_efferocytosis_screen/gene_level_screen_scores.tsv	SP140	1	"{""contrast_fdr"": ""0.920009505703422"", ""contrast_p_wilcoxon"": ""0.125"", ""efficient_consistent_positive"": ""True"", ""efficient_fdr"": ""0.8221627590893646"", ""efficient_p_wilcoxon"": ""0.125"", ""gene_symbol"": ""SP140"", ""median_efficient_lfc"": ""0.47979961255173575"", ""median_efficient_minus_noneater_lfc"": ""1.0553304433165922"", ""median_noneater_lfc"": ""-0.5733526563236783"", ""modules"": """", ""n_sgrna"": ""4"", ""noneater_consistent_positive"": ""False"", ""noneater_fdr"": ""0.9645063778899814"", ""noneater_p_wilcoxon"": ""0.375"", ""s1_median_efficient_lfc"": ""0.6353445559339601"", ""s1_median_noneater_lfc"": ""-0.218933381908621"", ""s3_median_efficient_lfc"": ""0.4219699410329478"", ""s3_median_noneater_lfc"": ""-1.010426362612658"", ""screen_call"": ""UNRESOLVED"", ""tracked_candidate"": ""False""}"	
results_v3/wave37_gse212008_crispr_efferocytosis_screen/gene_level_screen_scores.tsv	GALC	1	"{""contrast_fdr"": ""0.9965506589785832"", ""contrast_p_wilcoxon"": ""0.375"", ""efficient_consistent_positive"": ""False"", ""efficient_fdr"": ""0.9600924529799222"", ""efficient_p_wilcoxon"": ""0.625"", ""gene_symbol"": ""GALC"", ""median_efficient_lfc"": ""-0.42764911042457443"", ""median_efficient_minus_noneater_lfc"": ""-0.6411892122129084"", ""median_noneater_lfc"": ""0.12424562933878536"", ""modules"": """", ""n_sgrna"": ""4"", ""noneater_consistent_positive"": ""False"", ""noneater_fdr"": ""0.8757238508867174"", ""noneater_p_wilcoxon"": ""0.125"", ""s1_median_efficient_lfc"": ""-0.3059451619594846"", ""s1_median_noneater_lfc"": ""-0.03654996830323176"", ""s3_median_efficient_lfc"": ""-0.8495774923334745"", ""s3_median_noneater_lfc"": ""0.3708534350224135"", ""screen_call"": ""UNRESOLVED"", ""tracked_candidate"": ""False""}"	
results_v3/wave37_gse212008_crispr_efferocytosis_screen/gene_level_screen_scores.tsv	CD58	0		no_row
results_v3/wave37_gse212008_crispr_efferocytosis_screen/gene_level_screen_scores.tsv	IL7R	1	"{""contrast_fdr"": ""1.0"", ""contrast_p_wilcoxon"": ""0.75"", ""efficient_consistent_positive"": ""False"", ""efficient_fdr"": ""0.9600924529799222"", ""efficient_p_wilcoxon"": ""0.5"", ""gene_symbol"": ""IL7R"", ""median_efficient_lfc"": ""0.4388892132710165"", ""median_efficient_minus_noneater_lfc"": ""-0.15536182895519923"", ""median_noneater_lfc"": ""0.6283890478029444"", ""modules"": """", ""n_sgrna"": ""3"", ""noneater_consistent_positive"": ""True"", ""noneater_fdr"": ""0.8757238508867174"", ""noneater_p_wilcoxon"": ""0.25"", ""s1_median_efficient_lfc"": ""0.10888407432019731"", ""s1_median_noneater_lfc"": ""0.37239670113410783"", ""s3_median_efficient_lfc"": ""0.6939502521254353"", ""s3_median_noneater_lfc"": ""0.5346212276559128"", ""screen_call"": ""UNRESOLVED"", ""tracked_candidate"": ""False""}"	
results_v3/wave79_targetability_shortlist_audit/targetability_integrated_decision.tsv	IFI30	1	"{""apc_myeloid_positive_disease_count"": ""2"", ""apc_myeloid_positive_diseases"": ""psoriasis;ulcerative colitis"", ""best_response_endpoint"": ""baseline_pre"", ""chembl_activity_count"": ""0.0"", ""decision_reason"": ""insufficient target-level convergence after strict gates"", ""foundation_do_not_promote_text"": ""1"", ""foundation_rows"": ""12"", ""foundation_supportive_text"": ""1"", ""gate_adjusted_ra_ibd_response_specific"": ""0"", ""gate_apc_myeloid_ge2"": ""1"", ""gate_breadth_ge3"": ""1"", ""gate_count"": ""5"", ""gate_genetics_or_target_resolution"": ""1"", ""gate_modality"": ""0"", ""gate_model_or_perturbation"": ""0"", ""gate_ms_anchor"": ""1"", ""gate_ms_nonnegative_guardrail"": ""1"", ""gate_prior_not_blocked"": ""0"", ""gate_residual_survival"": ""0"", ""gene"": ""IFI30"", ""ibd_response_p"": ""0.6648210415593697"", ""ibd_target_generic_abs_ratio"": ""1.039434161797475"", ""is_target_gene"": ""False"", ""modality_strength"": ""benchmark_antigen_processing_no_clean_modality"", ""ms_delta_log2"": ""0.21016237009791"", ""ms_fdr"": ""0.9141270983319502"", ""ms_max_l2g_score"": ""0.6501023173332214"", ""ms_p"": ""0.379946954952182"", ""non_target_positive_disease_count"": ""0"", ""positive_disease_count"": ""3"", ""positive_diseases"": ""psoriasis;type 1 diabetes mellitus;ulcerative colitis"", ""qtl_strong_h4_disease_count"": ""3"", ""qtl_strong_h4_diseases"": ""Celiac;Crohn;MS"", ""ra_response_p"": ""0.3778191741777486"", ""ra_target_generic_abs_ratio"": ""3.289552564282908"", ""strict_residual_surviving_disease_count"": ""1.0"", ""wave21_call"": """", ""wave39_call"": """", ""wave62_call"": ""PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE"", ""wave71_call"": ""NO_REOPEN_INSUFFICIENT_CONVERGENCE"", ""wave79_call"": ""NO_GO_TARGETABILITY_SHORTLIST_NODE""}"	
results_v3/wave79_targetability_shortlist_audit/targetability_integrated_decision.tsv	SP140	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_integrated_decision.tsv	GALC	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_integrated_decision.tsv	CD58	1	"{""apc_myeloid_positive_disease_count"": ""2"", ""apc_myeloid_positive_diseases"": ""Crohn disease;ulcerative colitis"", ""best_response_endpoint"": ""baseline_pre"", ""chembl_activity_count"": ""0.0"", ""decision_reason"": ""partial support remains but one or more critical targetability gates fail"", ""foundation_do_not_promote_text"": ""0"", ""foundation_rows"": ""0"", ""foundation_supportive_text"": ""0"", ""gate_adjusted_ra_ibd_response_specific"": ""0"", ""gate_apc_myeloid_ge2"": ""1"", ""gate_breadth_ge3"": ""1"", ""gate_count"": ""8"", ""gate_genetics_or_target_resolution"": ""1"", ""gate_modality"": ""1"", ""gate_model_or_perturbation"": ""1"", ""gate_ms_anchor"": ""1"", ""gate_ms_nonnegative_guardrail"": ""1"", ""gate_prior_not_blocked"": ""1"", ""gate_residual_survival"": ""0"", ""gene"": ""CD58"", ""ibd_response_p"": ""0.17319632161569962"", ""ibd_target_generic_abs_ratio"": ""1.6234893993922108"", ""is_target_gene"": ""True"", ""modality_strength"": ""surface_biologic_possible"", ""ms_delta_log2"": ""0.1797564428759965"", ""ms_fdr"": ""0.9095100064215184"", ""ms_max_l2g_score"": ""0.9513845443725586"", ""ms_p"": ""0.3110884246237163"", ""non_target_positive_disease_count"": ""1"", ""positive_disease_count"": ""3"", ""positive_diseases"": ""Crohn disease;type 1 diabetes mellitus;ulcerative colitis"", ""qtl_strong_h4_disease_count"": ""2"", ""qtl_strong_h4_diseases"": ""Crohn;MS"", ""ra_response_p"": ""0.002977517998379077"", ""ra_target_generic_abs_ratio"": ""11.71373975684199"", ""strict_residual_surviving_disease_count"": ""0.0"", ""wave21_call"": """", ""wave39_call"": """", ""wave62_call"": ""PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE"", ""wave71_call"": ""NO_REOPEN_INSUFFICIENT_CONVERGENCE"", ""wave79_call"": ""PARK_TARGETABILITY_SHORTLIST_NODE""}"	
results_v3/wave79_targetability_shortlist_audit/targetability_integrated_decision.tsv	IL7R	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_summary.tsv	IFI30	1	"{""best_context"": ""IBD_myeloid"", ""best_projection_like_value"": ""0.0006078680162318"", ""foundation_do_not_promote_text"": ""1"", ""foundation_rows"": ""12"", ""foundation_supportive_text"": ""1"", ""gene"": ""IFI30""}"	
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_summary.tsv	SP140	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_summary.tsv	GALC	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_summary.tsv	CD58	1	"{""best_context"": """", ""best_projection_like_value"": """", ""foundation_do_not_promote_text"": ""0"", ""foundation_rows"": ""0"", ""foundation_supportive_text"": ""0"", ""gene"": ""CD58""}"	
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_summary.tsv	IL7R	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	IFI30	1	"{""CD40_median_low_vs_high_log2"": ""0.657438905556893"", ""MHCII_fdr"": ""0.9813802911036013"", ""MHCII_mean_low_vs_high_log2"": ""0.1730973352889327"", ""MHCII_median_low_vs_high_log2"": ""0.4599160523462348"", ""MHCII_positive_sgrna_fraction"": ""0.75"", ""MHCII_rank_required_low_vs_high"": ""3889.0"", ""PDL1_median_low_vs_high_log2"": ""0.6767554971185336"", ""alignment_priority"": ""5"", ""best_context_cells_with_token"": ""3"", ""best_context_cosine_z"": ""0.8853592302288179"", ""best_context_projection_minus_random"": ""0.0496691847252401"", ""best_direct_control_class"": """", ""best_direct_dataset"": """", ""best_direct_evidence_call"": """", ""best_direct_generic_ifn_effect"": """", ""best_direct_pathway"": """", ""best_direct_perturbation"": """", ""best_direct_rank"": """", ""best_direct_selectivity_score"": """", ""best_direct_source"": """", ""best_direct_target_module_effect"": """", ""best_direct_target_vs_ifn_margin"": """", ""best_geneformer_context"": ""IBD_myeloid"", ""best_geneformer_source"": ""wave15_loader_dependency_delete"", ""best_mean_cosine_z_vs_random"": ""0.568994811483941"", ""best_mean_projection_shift"": ""-0.0121384225785732"", ""foundation_rescue_recommendation"": ""triage_only_no_direct_candidate_perturbation"", ""gene"": ""IFI30"", ""geneformer_rescue_rank"": ""39"", ""geneformer_source_count"": ""1"", ""geneformer_sources"": ""wave15_loader_dependency_delete"", ""gilt_lysosomal_apc_mean_log2fc"": """", ""gse162463_mhcii_direction_call"": ""mhcii_low_enrichment_supportive"", ""gse162463_screen_stronger_than_ctsh"": ""False"", ""hla_ii_apc_mean_log2fc"": """", ""ifn_apc_mean_log2fc"": """", ""max_contexts_with_token_in_source"": ""3"", ""max_strong_support_contexts_in_source"": ""1"", ""max_support_contexts_in_source"": ""1"", ""mif_cd74_receptor_state_mean_log2fc"": """", ""mixscale_transition_pathway"": """", ""mixscale_transition_perturbation"": """", ""mixscale_transition_rank"": """", ""n_modules_suppressed"": """", ""n_sgrna"": ""4.0"", ""readout_best_condition"": ""IFNG:JAK2"", ""readout_best_source"": ""Mixscale_GSE281048"", ""readout_min_log2fc"": ""-1.34385893389944"", ""readout_negative_records"": ""14.0"", ""readout_sources"": ""GSE162464_mouse_macrophage_RNAseq;GSE294918_human_ruxolitinib;Mixscale_GSE281048"", ""readout_total_records"": ""18.0"", ""real_perturbation_alignment_call"": ""model_with_readout_concordance_only"", ""stronger_than_ctsh_geneformer"": ""True"", ""total_disease_cells_with_token"": ""9"", ""total_strong_support_contexts"": ""1"", ""total_support_contexts"": ""1"", ""transition_suppression_score"": """", ""wave18_rank"": ""9""}"	
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	SP140	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	GALC	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	CD58	0		no_row
results_v3/wave79_targetability_shortlist_audit/targetability_foundation_rank_rows.tsv	IL7R	0		no_row
results_v3/wave79_targetability_shortlist_residual_audit/targetability_shortlist_candidate_matrix.tsv	IFI30	1	"{""call"": ""BENCHMARK_NOT_NOMINATION"", ""decision_reason"": ""insufficient multivariable residual disease breadth; insufficient APC/myeloid residual breadth; does not survive all core IFN/HLA/lysosome/NFkB covariates in >=2 diseases; no RA/IBD suppression-response support; no near-term selective modality in local evidence"", ""direct_multivariable_residual_disease_count"": ""0"", ""direct_multivariable_residual_diseases"": """", ""gene"": ""IFI30"", ""ibd_response_support"": ""False"", ""modality_ready_local"": ""False"", ""ms_delta_log2"": ""0.21016237009791"", ""ms_expression_anchor"": ""False"", ""ms_genetic_anchor"": ""True"", ""ms_max_l2g_score"": ""0.6501023173332214"", ""ms_p"": ""0.379946954952182"", ""myeloid_multivariable_residual_disease_count"": ""0"", ""pass_count"": ""1"", ""ra_response_support"": ""False"", ""raw_positive_disease_count"": ""4"", ""response_support_count"": ""0"", ""strict_core_residual_disease_count"": ""0"", ""wave62_call"": ""PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE""}"	
results_v3/wave79_targetability_shortlist_residual_audit/targetability_shortlist_candidate_matrix.tsv	SP140	0		no_row
results_v3/wave79_targetability_shortlist_residual_audit/targetability_shortlist_candidate_matrix.tsv	GALC	0		no_row
results_v3/wave79_targetability_shortlist_residual_audit/targetability_shortlist_candidate_matrix.tsv	CD58	1	"{""call"": ""PARK_CD58_MS_GENETIC_BUT_NO_STATE_RESPONSE_CONVERGENCE"", ""decision_reason"": ""insufficient multivariable residual disease breadth; insufficient APC/myeloid residual breadth; does not survive all core IFN/HLA/lysosome/NFkB covariates in >=2 diseases; no RA/IBD suppression-response support"", ""direct_multivariable_residual_disease_count"": ""0"", ""direct_multivariable_residual_diseases"": """", ""gene"": ""CD58"", ""ibd_response_support"": ""False"", ""modality_ready_local"": ""True"", ""ms_delta_log2"": ""0.1797564428759965"", ""ms_expression_anchor"": ""False"", ""ms_genetic_anchor"": ""True"", ""ms_max_l2g_score"": ""0.9513845443725586"", ""ms_p"": ""0.3110884246237163"", ""myeloid_multivariable_residual_disease_count"": ""0"", ""pass_count"": ""2"", ""ra_response_support"": ""False"", ""raw_positive_disease_count"": ""3"", ""response_support_count"": ""0"", ""strict_core_residual_disease_count"": ""0"", ""wave62_call"": ""PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE""}"	
results_v3/wave79_targetability_shortlist_residual_audit/targetability_shortlist_candidate_matrix.tsv	IL7R	0		no_row
