source	pattern	effect	hedges_g	p_value	tier_minus_1_flag	interpretation	next_check	abs_hedges_g
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine CD1Chi DC hla_ii_without_cd74 raw remission	0.2115226091284837	1.1327272071206285	0.0057224799878898	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	1.1327272071206285
results/pregnancy_dimension/gse108497_sle	GSE108497 mif_cd74_receptor_state 8-20 weeks postpartum - 32-40 weeks	0.2662827351498327	0.6486481503418648	0.0060454345940619	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.6486481503418648
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 8-20 weeks postpartum - <16 weeks	-0.2786619370085522	-0.6291577720476902	0.0063084982786942	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.6291577720476902
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major DC hla_ii_without_cd74 raw remission	0.2019702828200248	0.8099248375288646	0.0072761494524645	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.8099248375288646
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 month9_vs_pre erythroid_marker	2.791872935925154	1.3560227945307173	0.0095820155276057	True	MS late-pregnancy component shift; Tier -1 if loose p or effect-size criteria pass.	validate in independent pregnancy/postpartum blood data or deconvolve cell source	1.3560227945307173
results/pregnancy_dimension/gse108497_sle	GSE108497 hla_ii_only 8-20 weeks postpartum - 32-40 weeks	0.4524990796930844	0.5969596448077331	0.0102998586204692	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.5969596448077331
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 residual ifn_apc adjusted_for_monocyte_pdc	0.4103645639382041	1.3186141770660242	0.0110684365890796	True	Adjustment behavior identifies whether composition absorbs or preserves the pregnancy signal.	treat absorbed covariate set as candidate mechanism if biologically plausible	1.3186141770660242
results/pregnancy_dimension/gse108497_sle	GSE108497 hif_nampt_metabolic 8-20 weeks postpartum - 32-40 weeks	-0.5336184309537058	-0.573065374920533	0.0118085105809647	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.573065374920533
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine S100A8 A9hi mono receptor_only_cd74_cd44_cxcr4 raw remission	-0.3094252965102593	-0.9249407586896872	0.0131721772902208	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.9249407586896872
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk opc cd74_alone inactive_edge_vs_control_wm residual	0.823574133560422	2.4026383281291372	0.0139125137364981	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	2.4026383281291372
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine C1Qhi IL1Bhi macro hla_ii_without_cd74 raw remission	0.2491235213015567	1.579991925478586	0.0141193198760599	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	1.579991925478586
results/pregnancy_dimension/gse108497_sle	GSE108497 mif_cd74_receptor_state 8-20 weeks postpartum - <16 weeks	0.2195297065898822	0.553766156528693	0.0156317126102128	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.553766156528693
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 residual isg_only adjusted_for_monocyte_pdc	0.529175750890881	1.2205038908986352	0.0168951016881359	True	Adjustment behavior identifies whether composition absorbs or preserves the pregnancy signal.	treat absorbed covariate set as candidate mechanism if biologically plausible	1.2205038908986352
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes hla_ii_with_cd74 periplaque_vs_control_wm residual	0.0957978008744668	2.8780101804849973	0.0193878692780079	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	2.8780101804849973
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk opc cd74_alone lesion_core_vs_control_wm residual	0.8760042865525401	2.615580201377954	0.0235405051548019	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	2.615580201377954
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes hla_ii_without_cd74 active_edge_vs_inactive_edge residual	0.2491498296037733	2.36741898285503	0.0240176174427774	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	2.36741898285503
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 month9_vs_pre isg_only	0.8662848708925912	1.1650466279097202	0.0244885397403443	True	MS late-pregnancy component shift; Tier -1 if loose p or effect-size criteria pass.	validate in independent pregnancy/postpartum blood data or deconvolve cell source	1.1650466279097202
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine C1Qhi IL1Blo macro hla_ii_without_cd74 raw remission	0.2835483051424559	1.0399407015709743	0.0248435246233814	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	1.0399407015709743
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 month9_vs_pre neutrophil_marker	0.3145609478083351	1.1330365830564075	0.0262264465050726	True	MS late-pregnancy component shift; Tier -1 if loose p or effect-size criteria pass.	validate in independent pregnancy/postpartum blood data or deconvolve cell source	1.1330365830564075
results/pregnancy_dimension/gse108497_sle	GSE108497 hla_ii_only 8-20 weeks postpartum - <16 weeks	0.2075723907454341	0.5081203509718316	0.0262613489093275	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.5081203509718316
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine C1Qhi IL1Blo macro ifn_apc raw remission	-0.8736937558039641	-0.9988521829209605	0.0301290552993939	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.9988521829209605
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes hla_ii_without_cd74 inactive_edge_vs_control_wm residual	-0.1698606773392544	-1.8428906833199008	0.0338933637972725	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.8428906833199008
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 month9_vs_pre ifn_apc	0.6358630063022481	1.0723962239804703	0.0368672189211126	True	MS late-pregnancy component shift; Tier -1 if loose p or effect-size criteria pass.	validate in independent pregnancy/postpartum blood data or deconvolve cell source	1.0723962239804703
results/pregnancy_dimension/emt12260_ms_tcells	E-MTAB-12260 trafficking_th postpartum - 3rd trimester	0.3020256988998088	0.5685553671142366	0.0379513838306048	True	Sorted MS T-cell pregnancy/postpartum pattern.	compare against relapse timing and cross-disease pregnancy T-cell trafficking	0.5685553671142366
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major Mono_macro receptor_only_cd74_cd44_cxcr4 raw remission	-0.2348285808000784	-0.6528959302199949	0.0382951915380571	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.6528959302199949
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 month9_vs_pre pdc_marker	-0.231621113687499	-1.042671101753469	0.0384481481917588	True	MS late-pregnancy component shift; Tier -1 if loose p or effect-size criteria pass.	validate in independent pregnancy/postpartum blood data or deconvolve cell source	1.042671101753469
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major DC cd74_alone IFN-adjusted remission	0.504732522747395		0.0391412193993875	True	Residual treatment-response pattern after IFN/APC adjustment.	promote only if an independent dataset preserves direction or mechanism	
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes lysosomal_partial active_edge_vs_inactive_edge residual	0.4287899307106654	2.342764221843816	0.0398788697304148	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	2.342764221843816
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes lysosomal_partial inactive_edge_vs_control_wm residual	-0.4244317018864882	-2.328582635263739	0.0401383792533861	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	2.328582635263739
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 month9_vs_pre platelet_marker	0.8206577388359371	1.031401084388657	0.0433069614434735	True	MS late-pregnancy component shift; Tier -1 if loose p or effect-size criteria pass.	validate in independent pregnancy/postpartum blood data or deconvolve cell source	1.031401084388657
results/pregnancy_dimension/gse108497_sle	GSE108497 hla_ii_only 8-20 weeks postpartum - 32-40 weeks	0.2143952662998351	0.4755957784854112	0.0440836505526203	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.4755957784854112
results/pregnancy_dimension/gse108497_sle	GSE108497 hla_ii_only 32-40 weeks - <16 weeks	-0.3311109599227874	-0.4368692927140361	0.0450629778929569	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.4368692927140361
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes hla_ii_with_cd74 active_edge_vs_inactive_edge residual	0.2170274156239836	1.5789916678082905	0.0492264761314055	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.5789916678082905
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes cd74_alone periplaque_vs_control_wm residual	0.4619152873536717	1.8123120532776755	0.052674875841505	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.8123120532776755
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 8-20 weeks postpartum - <16 weeks	-0.2691249605578159	-0.4546354905648663	0.054839433381379	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.4546354905648663
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk opc hla_ii_without_cd74 active_edge_vs_inactive_edge residual	0.1197520145532019	1.6265334718015896	0.0606173139154346	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.6265334718015896
results/pregnancy_dimension/gse108497_sle	GSE108497 regulatory_pregnancy 8-20 weeks postpartum - 32-40 weeks	0.3273587724832281	0.6759611967412779	0.0693139749528037	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.6759611967412779
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 8-20 weeks postpartum - 32-40 weeks	-0.4349170187965125	-0.6723624810046559	0.070332548851836	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.6723624810046559
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk oligodendrocytes myeloid_lipid_partial active_edge_vs_control_wm residual	0.2657647487436479	1.3674887752279314	0.0713359866419562	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.3674887752279314
results/pregnancy_dimension/gse108497_sle	GSE108497 hif_nampt_metabolic 8-20 weeks postpartum - <16 weeks	-0.3103774839819116	-0.4299346308771253	0.0720245781050995	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.4299346308771253
results/pregnancy_dimension/gse108497_sle	GSE108497 mif_cd74_receptor_state 8-20 weeks postpartum - 32-40 weeks	0.3058115266507866	0.4111928986334141	0.0722167993147938	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.4111928986334141
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk oligodendrocytes hla_ii_with_cd74 active_edge_vs_inactive_edge residual	0.1462835700366175	1.4823505726516648	0.073284422461974	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.4823505726516648
results/pregnancy_dimension/gse108497_sle	GSE108497 hla_ii_only 8-20 weeks postpartum - 32-40 weeks	-0.472816088217604	-0.6575424674993087	0.0780889644203185	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.6575424674993087
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk oligodendrocytes lysosomal_partial active_edge_vs_control_wm residual	0.1776627583362773	1.3082860945383867	0.0796964270469427	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.3082860945383867
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk oligodendrocytes hla_ii_without_cd74 active_edge_vs_inactive_edge residual	0.1413249908483765	1.387054296182635	0.0803584457677068	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.387054296182635
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major Mono_macro cd74_alone raw remission	0.4163969562326868	0.5235649940725612	0.0824454489188116	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.5235649940725612
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 32-40 weeks - <16 weeks	0.226106532972996	0.3706287977596075	0.0842095324238818	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.3706287977596075
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk oligodendrocytes myeloid_lipid_partial active_edge_vs_inactive_edge residual	0.2616979949450624	1.2744207426825718	0.0864810474302999	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.2744207426825718
results/pregnancy_dimension/gse108497_sle	GSE108497 hif_nampt_metabolic 8-20 weeks postpartum - 32-40 weeks	-0.2188811625418074	-0.3968432903190388	0.0876142093194038	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.3968432903190388
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk opc cd74_alone periplaque_vs_control_wm residual	0.5233711283388455	1.2861426587402602	0.0876570984050097	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.2861426587402602
results/pregnancy_dimension/gse108497_sle	GSE108497 ifn_apc 8-20 weeks postpartum - 32-40 weeks	-0.4798356321906583	-0.6231147526536804	0.0908069691333678	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.6231147526536804
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine CD1Chi DC full_mif_cd74_state IFN-adjusted remission	-0.099064905504525		0.0908810925805621	True	Residual treatment-response pattern after IFN/APC adjustment.	promote only if an independent dataset preserves direction or mechanism	
results/pregnancy_dimension/gse108497_sle	GSE108497 regulatory_pregnancy 8-20 weeks postpartum - <16 weeks	0.1668031342002486	0.4128546561214734	0.0919972441029401	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.4128546561214734
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 major DC cd74_alone raw remission	0.3281281002911559	0.5085935573666194	0.0943786134630379	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.5085935573666194
results/pregnancy_dimension/gse108497_sle	GSE108497 regulatory_pregnancy 32-40 weeks - <16 weeks	-0.1389474009431703	-0.3576081109731861	0.0946673975300138	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.3576081109731861
results/pregnancy_dimension/gse108497_sle	GSE108497 lysosomal_apc 8-20 weeks postpartum - <16 weeks	-0.2135837199637626	-0.4535762764277163	0.0968576034099799	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.4535762764277163
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes hla_ii_with_cd74 active_edge_vs_control_wm residual	0.1490024970113264	1.6947740001760676	0.0980885103077334	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.6947740001760676
results/pregnancy_dimension/gse17410_ms_sensitivity	GSE17410 residual cd74_alone adjusted_for_monocyte_pdc	0.1598962282704599	0.7757752611439979	0.109296115415745	True	Adjustment behavior identifies whether composition absorbs or preserves the pregnancy signal.	treat absorbed covariate set as candidate mechanism if biologically plausible	0.7757752611439979
results/pregnancy_dimension/gse108497_sle	GSE108497 monocyte_cd64 8-20 weeks postpartum - <16 weeks	-0.3618504354088525	-0.5237995076318362	0.1180234388924373	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.5237995076318362
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine C1Qhi IL1Bhi macro cd74_alone raw remission	0.3733366689898751	0.7037601525347198	0.1196027004504168	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.7037601525347198
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk opc cd74_alone active_edge_vs_control_wm residual	0.6813859956652698	1.363683350855502	0.1256433670318523	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.363683350855502
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes cd74_alone lesion_core_vs_control_wm residual	0.4730179779004159	1.7881148612714577	0.1260292393008963	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.7881148612714577
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes cd74_alone active_edge_vs_control_wm residual	0.3581425312517486	1.2729230047728144	0.1320246538160343	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.2729230047728144
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes lysosomal_partial periplaque_vs_control_wm residual	-0.2482430968497639	-1.237947391303749	0.1443262600173904	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.237947391303749
results/pregnancy_dimension/gse108497_sle	GSE108497 lysosomal_apc 8-20 weeks postpartum - 32-40 weeks	-0.2135005524077723	-0.5533864001554535	0.1453500049923317	True	Outcome-stratified SLE pregnancy/postpartum immune kinetics.	test decoupling in independent pregnancy and disease-outcome datasets	0.5533864001554535
analysis/tier_1_mechanism/mif_cd74_gse282122_component_response	GSE282122 fine C1Qhi IL1Blo macro receptor_only_cd74_cd44_cxcr4 raw remission	-1.1002636175507154	-0.8480650707359495	0.15624071416364	True	Raw treatment-response remodeling pattern before IFN/APC adjustment.	if adjusted away, inspect IFN/APC as mechanism rather than discard	0.8480650707359495
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk immune cd74_alone inactive_edge_vs_control_wm residual	0.0786137561152164	1.13916108311609	0.175586890848046	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.13916108311609
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk immune cd74_alone active_edge_vs_control_wm residual	0.0809381940790874	1.1187687560796498	0.1834066908183036	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.1187687560796498
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk oligodendrocytes cd74_alone active_edge_vs_control_wm residual	0.2532003734515014	1.0795383403304313	0.1863952508593329	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.0795383403304313
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk oligodendrocytes cd74_alone active_edge_vs_inactive_edge residual	0.1611593076013405	0.9096369173371088	0.1946640346811889	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	0.9096369173371088
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk immune hla_ii_without_cd74 inactive_edge_vs_control_wm residual	-0.0456940196996265	-1.2619520691423651	0.202009259584533	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.2619520691423651
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk astrocytes myeloid_lipid_partial inactive_edge_vs_control_wm residual	-0.3035353803475523	-1.2856579959742231	0.2023821511341671	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.2856579959742231
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk opc lysosomal_partial active_edge_vs_control_wm residual	-0.1904765176148244	-1.0135083181673097	0.2049321082128497	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.0135083181673097
analysis/tier_1_mechanism/mif_cd74_component_ms_pseudobulk	MS pseudobulk opc hla_ii_with_cd74 active_edge_vs_control_wm residual	0.2321372765343101	1.067026617873196	0.2204798827180912	True	Residualized lesion-compartment pattern after broad APC/size adjustment.	prioritize cell types where residual survives Tier -1 despite failing FDR	1.067026617873196
