gene	approved_name	wave104_call	wave104_call_priority	wave104_score	wave104_missing_gates	route_hypothesis	manual_route_blocker	prior_or_safety	gate_ms_genetic	gate_cross_autoimmune_genetics	gate_lipid_state_or_recurrence	gate_directional_or_perturbation	gate_reachable_modality	ms_max_l2g_score	ms_max_relevant_qtl_h4	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	relevant_qtl_coloc_disease_count	strong_qtl_coloc_diseases	genetic_disease_count_union	genetic_diseases_union	local_positive_disease_count	local_positive_diseases	in_lipid_lysosomal_myeloid_neighborhood	residual_retained_disease_count	strict_residual_disease_count	response_nonresponse_high_context_count	response_nominal_or_trend_context_count	direct_perturbation	direct_perturbation_detail	foundation_support	model_support_contexts_w57	model_strong_contexts_w57	best_model_context	efferocytosis_screen_call	efferocytosis_contrast_lfc	efferocytosis_contrast_fdr	reachability_score	intervention_class	chembl_activity_count	chembl_target_id	wave62_score	wave62_call	wave83_call	wave91_call	wave103_call	closure_text
GPR25	G protein-coupled receptor 25	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.35	lipid_state_or_recurrence;directional_or_perturbation_support			False	True	True	False	False	True	0.0	0.9847496994070368	0		5	5	AS;Crohn;MS;PBC;UC	5	AS;Crohn;MS;PBC;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1432174352737804	1.0	2.0	intracellular_other	0		1.759146357401434	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
IRF5	interferon regulatory factor 5	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.25	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety			True	True	True	False	False	True	0.0	0.0	7	Crohn;PBC;Psoriasis;RA;SLE;Sjogren;UC	7	7	Crohn;PBC;Psoriasis;RA;SLE;Sjogren;UC	10	AITD;AS;Crohn;MS;PBC;Psoriasis;RA;SLE;Sjogren;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1436995868634513	0.920009505703422	2.5	nuclear_regulatory	0		1.4188385009765625	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_PRIOR_OR_SAFETY_BLOCKED	prior_art_or_crowded_TF_axis | prior_branch_blocker_or_directionality_unresolved | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:lupus_irf5_prior_art_and_tf_druggability;no_high_confidence_directional_support | lupus_irf5_prior_art_and_tf_druggability | weak_reachability;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:lupus_irf5_prior_art_and_tf_druggability;no_high_confidence_directional_support | lupus_irf5_prior_art_and_tf_druggability | Target is plausible but prior-art/crowding risk is high. |  | prior_art_or_crowded_TF_axis |  | 
TNRC18	trinucleotide repeat containing 18	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.25	lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	True	True	False	False	False	0.8121318221092224	0.0	6	AS;Crohn;MS;Psoriasis;T1D;UC	2	2	Crohn;UC	8	AITD;AS;Crohn;MS;Psoriasis;RA;T1D;UC	1	Crohn disease	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.4172004922874021	0.9971256078463696	0.0	intracellular_other	0		3.851299525106767	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_DIRECTIONAL_SUPPORT	 |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
PUS10	pseudouridine synthase 10	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.25	lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	True	True	False	False	False	0.0816564038395881	0.9852343045238628	3	Celiac;Crohn;UC	4	4	MS;Psoriasis;RA;UC	7	AS;Celiac;Crohn;MS;Psoriasis;RA;UC	1	type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.3625299675252513	0.920009505703422	0.0	intracellular_other	0		2.3305130981363966	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_DIRECTIONAL_SUPPORT	 |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
IL10	interleukin 10	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	7.199999999999999	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety			True	True	True	False	False	True	0.0	0.9897984902414572	3	Crohn;T1D;UC	8	8	AITD;Crohn;MS;PBC;RA;SLE;T1D;UC	10	AITD;AS;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.5103208039261532	0.9971256078463696	7.5	receptor_or_ligand_axis	0	CHEMBL3712920	1.4620325347214136	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	 | prior_branch_blocker_or_directionality_unresolved | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Target is plausible but prior-art/crowding risk is high. |  |  |  | 
IL6ST	interleukin 6 cytokine family signal transducer	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.850000000000001	lipid_state_or_recurrence;directional_or_perturbation_support			False	True	True	False	False	True	0.1300268173217773	0.9979915662125396	0		3	3	Crohn;MS;RA	3	Crohn;MS;RA	2	Crohn disease;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.0534631812093104	1.0	3.0	intracellular_other	0		1.6356730610132215	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		NO_GO_NO_MS_ANCHOR	 |  | insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
IL2RA	interleukin 2 receptor subunit alpha	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.800000000000001	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety			True	True	True	False	False	True	0.8340961933135986	0.8424868378351196	5	Crohn;MS;Psoriasis;RA;T1D	2	2	MS;RA	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	0.1043766782222873	1.0	5.5	receptor_or_ligand_axis	0	CHEMBL1778	4.443186856221253	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	CD25_IL2_axis_prior_art_directionality | prior_branch_blocker_or_directionality_unresolved | manual_or_prior_blocker;prior_branch_closed:cd25_axis_prior_art_and_treg_effector_direction_conflict | cd25_axis_prior_art_and_treg_effector_direction_conflict | manual_or_prior_blocker;prior_branch_closed:cd25_axis_prior_art_and_treg_effector_direction_conflict | cd25_axis_prior_art_and_treg_effector_direction_conflict | Direct clinical or therapeutic-class prior art blocks novelty. |  | CD25_IL2_axis_prior_art_directionality |  | 
SIRPB1	signal regulatory protein beta 1	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.6	lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	True	True	False	False	False	0.0	0.9438772520186	0		6	6	Celiac;Crohn;MS;PBC;SLE;T1D	6	Celiac;Crohn;MS;PBC;SLE;T1D	2	Crohn disease;ulcerative colitis	False	0	0	0	0	False		False	0.0	0.0					0.0	intracellular_other	0		1.8926541805267336	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_MS_ANCHOR	 |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;insufficient_cross_disease_breadth;no_strong_ms_anchor;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  |  |  |  |  | 
FCRL3	Fc receptor like 3	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.55	lipid_state_or_recurrence;directional_or_perturbation_support			False	True	True	False	False	True	0.0	0.0	1	RA	2	2	Crohn;RA	5	AITD;Crohn;MS;RA;SLE	0		False	0	0	0	0	False		False	0.0	0.0					2.0	intracellular_other	0		2.4583819484479967	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_DIRECTIONAL_SUPPORT	 |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
RMI2	RecQ mediated genome instability 2	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.5	lipid_state_or_recurrence;directional_or_perturbation_support;reachable_modality			False	True	True	False	False	False	0.7914115786552429	0.9780145044618388	2	MS;T1D	5	5	Crohn;MS;PBC;Psoriasis;T1D	6	Crohn;MS;PBC;Psoriasis;SLE;T1D	0		False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3654910145888572	0.9971256078463696	0.0	intracellular_other	0		5.2866275933786335	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	NO_GO_NOT_REACHABLE_FIRST_CLASS		NO_GO_NO_CROSS_DISEASE_ANCHOR	 |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | weak_reachability;no_positive_perturbation_or_response_direction;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
IFNGR2	interferon gamma receptor 2	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.449999999999999	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety			True	True	True	False	False	True	0.0	0.0	2	Crohn;RA	3	3	Crohn;RA;T1D	7	AS;Crohn;MS;Psoriasis;RA;T1D;UC	1	type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.3913940594869177	0.9965506589785832	5.0	intracellular_other	0	CHEMBL2364171	2.456410029382995	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	 |  | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | insufficient_independent_convergence_after_guardrails |  |  |  | 
GPR65	G protein-coupled receptor 65	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.350000000000001	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety			True	True	True	False	False	True	0.6238155364990234	0.982319288825745	2	AS;MS	1	1	MS	6	AS;Crohn;MS;Psoriasis;RA;UC	1	Sjogren syndrome	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.1363570753388885	1.0	6.5	intracellular_other	99	CHEMBL3714081	4.2649283939359135	PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE	PARK_TARGET_RESOLVED_BUT_PRIOR_CLOSED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	 | prior_branch_blocker_or_directionality_unresolved | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:acid_sensing_gpcr_prior_art_local_mismatch;no_high_confidence_directional_support | acid_sensing_gpcr_prior_art_local_mismatch | no_positive_perturbation_or_response_direction;manual_or_prior_blocker;prior_branch_closed:acid_sensing_gpcr_prior_art_local_mismatch;no_high_confidence_directional_support | acid_sensing_gpcr_prior_art_local_mismatch | Genetic signal is plausible but local expression/state support is contradictory. |  |  |  | 
TNFRSF14	TNF receptor superfamily member 14	PARK_GENETICS_FIRST_NO_LIPID_STATE_CONVERGENCE	3	6.34375	lipid_state_or_recurrence;directional_or_perturbation_support;prior_or_safety			True	True	True	False	False	True	0.0652648583054542	0.9398596564252308	2	Celiac;RA	4	4	Celiac;MS;RA;T1D	9	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;T1D;UC	1	type 1 diabetes mellitus	False	0	0	0	0	False		False	0.0	0.0		UNRESOLVED	-0.0490641513083276	1.0	3.3125	receptor_or_ligand_axis	0		-0.2532773896147069	NO_GO_WAVE62_TARGET_RESOLUTION	NO_GO_REACHABLE_BUT_BIOLOGY_INCOMPLETE_OR_BLOCKED		NO_GO_PRIOR_OR_SAFETY_BLOCKED	HVEM_LIGHT_axis_directionality_prior_art | prior_branch_blocker_or_directionality_unresolved | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | no_strong_ms_anchor;no_positive_perturbation_or_response_direction;manual_or_prior_blocker;no_high_confidence_directional_support |  | Genetic signal survives triage but direction/modality is not clean enough for promotion. |  | HVEM_LIGHT_axis_directionality_prior_art |  | 
