gene	selection_reasons	discovery_priority_score_resid	broad_positive_disease_count	broad_negative_disease_count	broad_ms_positive_nominal	ms_wm_delta_log2_resid	ms_wm_p_resid	in_lipid_lysosomal_myeloid_neighborhood_resid	raw_positive_analysis_count	raw_positive_disease_count	raw_negative_analysis_count	retained_positive_analysis_count	retained_positive_disease_count	non_ibd_retained_positive_analysis_count	non_ibd_retained_positive_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analyses	raw_positive_analyses	top_retained_tests	residual_gate_priority_score	tested_compartment_count	positive_compartment_count	negative_compartment_count	positive_fdr10_compartment_count	negative_fdr10_compartment_count	positive_disease_count	negative_disease_count	positive_diseases	negative_diseases	best_positive_p	best_positive_fdr	max_positive_delta_log2_cpm	median_positive_hedges_g	best_negative_p	min_negative_delta_log2_cpm	top_positive_compartments	in_lipid_lysosomal_myeloid_neighborhood_broad	ms_wm_delta_log2_broad	ms_wm_hedges_g	ms_wm_p_broad	ms_wm_fdr	opentargets_disease_count	opentargets_diseases	opentargets_max_overall	opentargets_max_genetic_association	opentargets_max_known_drug_or_clinical	opentargets_channels_present	existing_priority_score	existing_weighted_evidence_score	existing_ms_anchor_score	existing_positive_disease_count	existing_negative_disease_count	existing_positive_diseases	existing_negative_diseases	existing_prior_flag	ms_positive_nominal	ms_positive_trend	genetic_or_target_db_breadth	discovery_priority_score_broad	ot_n_diseases_score_ge_0_5	ot_diseases_score_ge_0_5	target_level_genetics_dod_call	audit_priority_call	wave21_residual_modality_score	chembl_target_chembl_id	chembl_pref_name	chembl_target_type	chembl_organism	chembl_nM_activity_count	chembl_search_url	uniprot_accession	uniprot_protein	uniprot_function_excerpt	uniprot_location	uniprot_url	wave21_call	wave21_failures	wave21_modality_read	wave21_manual_class	wave21_direction	wave21_prior_flag	prior_exclusion_reason
CXCL8	top_rank	20.0	3.0	0.0	False	-0.0879956974423397	0.8090528791592078	False	5	2	0	5	2	2	1	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.552,p=0.0011;ibd_uc_myeloid:1.1,p=0.0012;t1d_ductal_cell:1.05,p=0.012;t1d_acinar_cell:1.22,p=0.019;ibd_uc_epithelial:0.492,p=0.019	ibd_uc_stromal|ifn_apc:0.568,p=0.00019;ibd_uc_stromal|hla_ii_apc:0.51,p=0.00024;ibd_uc_stromal|lysosomal_apc:0.561,p=0.00071;ibd_uc_stromal|complement_effector:0.555,p=0.00093;ibd_uc_stromal|core_lysosomal_lipid:0.44,p=0.0063;ibd_uc_stromal|hif_nampt_metabolic:0.305,p=0.0081;ibd_uc_myeloid|hla_ii_apc:0.868,p=0.009;t1d_ductal_cell|complement_phagocytosis:1.1,p=0.0092	11	17.0	7.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		4.515691505600107e-05	0.0474119385016101	3.64520571925716	1.7085261293009604			t1d_acinar_cell:2.72,p=4.5e-05;t1d_ductal_cell:1.86,p=0.00014;ibd_uc_stromal:2.94,p=0.0059;t1d_beta_cell:3.33,p=0.0065;ibd_crohn_stromal:3.65,p=0.021;ibd_crohn_myeloid:2.58,p=0.036;ibd_uc_myeloid:2.36,p=0.04	False	-0.0879956974423397	-0.1050666349502435	0.8090528791592078	0.9761732664217524															False	False	0.0	20.0					6.5	CHEMBL2157	Interleukin-8	SINGLE PROTEIN	Homo sapiens	656	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CXCL8&limit=10	P10145	Interleukin-8	Chemotactic factor that mediates inflammatory response by attracting neutrophils, basophils, and T-cells to clear pathogens and protect the host from infection (PubMed:18692776, PubMed:7636208). Also plays an important role in neutrophil activation (PubMed:2145175, PubMed:9623510). Released in response to an inflammatory stimulus, exerts its effect by binding to the G-protein-coupled receptors CXCR1 and CXCR2, primarily found in neutrophils, monocytes and endothelial cells (PubMed:1840701, PubMed:1891716). G-protein heterotrimer (alpha, beta, gamma subunits) constitutively binds to CXCR1/CXCR2 receptor and activation by IL8 leads to beta and gamma subunits release from Galpha (GNAI2 in neutrophils) and activation of several downstream signaling pathways including PI3K and MAPK pathways (Pu	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACXCL8%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
MPHOSPH6	four_disease_low_contradiction;top_rank	25.0	4.0	0.0	False	-0.5952492354373149	0.1685973390358947	False	5	3	0	4	2	2	1	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_myeloid:0.486,p=0.0032;ibd_uc_stromal:0.251,p=0.011;psoriasis_keratinocyte:0.676,p=0.013;t1d_acinar_cell:0.267,p=0.017;t1d_beta_cell:0.45,p=0.045	t1d_beta_cell|complement_phagocytosis:0.282,p=0.0024;ibd_uc_stromal|complement_effector:0.255,p=0.0075;ibd_uc_stromal|lysosomal_apc:0.258,p=0.0081;ibd_uc_stromal|ifn_apc:0.24,p=0.0089;ibd_uc_myeloid|hla_ii_apc:0.362,p=0.0095;ibd_uc_myeloid|c1q_phagocytic_myeloid:0.386,p=0.0096;t1d_beta_cell|c1q_phagocytic_myeloid:0.32,p=0.01;ibd_uc_stromal|hla_ii_apc:0.252,p=0.01	11	17.0	9.0	0.0	2.0	0.0	4.0	0.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis		2.856794085122812e-06	0.0097502382125241	1.492887931532782	1.27959043775588			ibd_uc_myeloid:1.49,p=2.9e-06;t1d_beta_cell:1.39,p=1.9e-05;t1d_acinar_cell:1.24,p=0.0043;psoriasis_keratinocyte:1.4,p=0.0059;t1d_stellate_cell:1.42,p=0.018;ibd_uc_stromal:0.832,p=0.019;t1d_ductal_cell:0.959,p=0.019;t1d_endothelial_cell:1.44,p=0.043	False	-0.5952492354373149	-0.6289133242544074	0.1685973390358947	0.8989378106274888															False	False	0.0	25.0					6.5	CHEMBL6066427	M-phase phosphoprotein 6	SINGLE PROTEIN	Homo sapiens	2	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=MPHOSPH6&limit=10	Q99547	M-phase phosphoprotein 6	RNA-binding protein that associates with the RNA exosome complex. Involved in the 3'-processing of the 7S pre-RNA to the mature 5.8S rRNA and play a role in recruiting the RNA exosome complex to pre-rRNA; this function may include C1D	Nucleus, nucleolus;Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AMPHOSPH6%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases;weak_external_modality	none_detected				
TGM2	top_rank	21.704581079493423	3.0	0.0	False	-0.9454639666769412	0.3323926040170903	False	6	2	1	5	2	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_crohn_myeloid:0.353,p=0.00047;ibd_uc_stromal:0.552,p=0.0037;ibd_crohn_stromal:0.332,p=0.026;ibd_crohn_epithelial:0.22,p=0.033;ibd_uc_myeloid:0.676,p=0.034;ibd_uc_epithelial:0.999,p=0.044	ibd_uc_stromal|lysosomal_apc:0.601,p=0.00018;ibd_crohn_myeloid|hla_ii_apc:0.335,p=0.00084;ibd_uc_stromal|ifn_apc:0.572,p=0.0014;ibd_uc_stromal|hla_ii_apc:0.499,p=0.0015;ibd_crohn_myeloid|lipid_loader_repair:0.328,p=0.0016;ibd_crohn_stromal|complement_effector:0.279,p=0.0019;ibd_crohn_myeloid|complement_effector:0.316,p=0.0021;ibd_uc_stromal|complement_effector:0.557,p=0.0028	6	17.0	7.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;psoriasis;ulcerative colitis		0.0002595244776568	0.0368920214559255	4.693655875623536	2.067386583412337			ibd_uc_epithelial:4.69,p=0.00026;ibd_uc_stromal:1.44,p=0.00042;ibd_crohn_stromal:1.02,p=0.0031;ibd_crohn_myeloid:3.18,p=0.0043;ibd_uc_myeloid:3.21,p=0.0044;ibd_crohn_epithelial:2.62,p=0.013;psoriasis_skin_stromal:1.36,p=0.042	False	-0.9454639666769412	-0.4275164567037642	0.3323926040170903	0.9141270983319502	3.0	MS;UC;celiac	0.2098056843011675			datatype_affected_pathway;datatype_literature;datatype_rna_expression	4.091621589868462	1.295810794934231	2.795810794934231	0.0	0.0				False	False	3.0	21.704581079493423					6.5	CHEMBL2730	Protein-glutamine gamma-glutamyltransferase	SINGLE PROTEIN	Homo sapiens	807	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TGM2&limit=10	P21980	Protein-glutamine gamma-glutamyltransferase 2	Has cytotoxic activity: is able to induce apoptosis independently of its acyltransferase activity	Cytoplasm, perinuclear region	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATGM2%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	chembl_single_target_activity				
REG1A	top_rank	21.0	3.0	0.0	False			False	5	2	0	5	2	4	1	2	1	t1d_ductal_cell:type 1 diabetes mellitus;t1d_endothelial_cell:type 1 diabetes mellitus	t1d_stellate_cell:1.19,p=0.00026;t1d_endothelial_cell:0.864,p=0.0016;t1d_ductal_cell:0.826,p=0.0016;t1d_beta_cell:0.669,p=0.011;ibd_uc_epithelial:190,p=0.012	t1d_stellate_cell|lysosomal_apc:1.26,p=6e-06;t1d_ductal_cell|lipid_loader_repair:1.03,p=9.2e-06;t1d_stellate_cell|lipid_loader_repair:1.33,p=1.5e-05;t1d_stellate_cell|core_lysosomal_lipid:1.13,p=1.8e-05;t1d_endothelial_cell|lysosomal_apc:0.991,p=8.5e-05;t1d_ductal_cell|hif_nampt_metabolic:0.961,p=0.00012;t1d_ductal_cell|core_lysosomal_lipid:0.823,p=0.00013;t1d_stellate_cell|c1q_phagocytic_myeloid:0.955,p=0.00017	13	11.0	8.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		0.0001323648853612	0.051242859286193	9.886261941392055	1.2906562345667856			ibd_crohn_epithelial:9.48,p=0.00013;t1d_stellate_cell:2.09,p=0.00054;ibd_uc_epithelial:9.89,p=0.0047;t1d_ductal_cell:1.01,p=0.0052;t1d_endothelial_cell:1.9,p=0.012;t1d_beta_cell:1.46,p=0.021;ibd_crohn_stromal:1.91,p=0.044;ibd_crohn_myeloid:1.78,p=0.045	False																			False	False	0.0	21.0					6.5					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=REG1A&limit=10	P05451	Lithostathine-1-alpha	Might act as an inhibitor of spontaneous calcium carbonate precipitation. May be associated with neuronal sprouting in brain, and with brain and pancreas regeneration	Secreted	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AREG1A%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
PPIB	top_rank	18.07394724321223	3.0	0.0	False	-0.3697988200867144	0.0770967095708424	False	2	2	0	1	1	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.501,p=0.01;t1d_acinar_cell:0.278,p=0.045	ibd_uc_stromal|complement_effector:0.51,p=0.00036;ibd_uc_stromal|hla_ii_apc:0.513,p=0.0072;ibd_uc_stromal|ifn_apc:0.486,p=0.0073;ibd_uc_stromal|lysosomal_apc:0.496,p=0.011;ibd_uc_stromal|inflammatory_nfkb:0.452,p=0.023;ibd_uc_stromal|core_lysosomal_lipid:0.392,p=0.035;ibd_uc_stromal|hif_nampt_metabolic:0.352,p=0.047;ibd_uc_stromal|lipid_loader_repair:0.383,p=0.048	8	17.0	5.0	0.0	2.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		2.792676414408073e-05	0.0136530488323828	1.143056024738634	2.0698614860251054			ibd_uc_epithelial:1.14,p=2.8e-05;ibd_uc_stromal:0.795,p=0.0013;ibd_uc_myeloid:0.478,p=0.0037;t1d_acinar_cell:0.29,p=0.025;ibd_crohn_epithelial:0.514,p=0.031	False	-0.3697988200867144	-0.7914332902661905	0.0770967095708424	0.8989378106274888							1.478944864244649	-0.021055135755351	1.5	1.0	0.0	MS			False	False	0.0	18.07394724321223					5.25	CHEMBL2075	Peptidyl-prolyl cis-trans isomerase B	SINGLE PROTEIN	Homo sapiens	156	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=PPIB&limit=10	P23284	Peptidyl-prolyl cis-trans isomerase B	PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding	Endoplasmic reticulum lumen;Melanosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3APPIB%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	chembl_single_target_activity				
NME1	five_disease;four_disease_low_contradiction;top_rank	23.015845455587073	5.0	0.0	False	-0.386249849366223	0.3480428652732463	False	1	1	0	1	1	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.515,p=0.011	ibd_uc_stromal|complement_effector:0.522,p=0.0025;ibd_uc_stromal|lysosomal_apc:0.544,p=0.004;ibd_uc_stromal|hla_ii_apc:0.487,p=0.01;ibd_uc_stromal|ifn_apc:0.518,p=0.01;ibd_uc_stromal|core_lysosomal_lipid:0.463,p=0.012;ibd_uc_stromal|inflammatory_nfkb:0.463,p=0.025;ibd_uc_stromal|lipid_loader_repair:0.449,p=0.029;ibd_uc_stromal|hif_nampt_metabolic:0.321,p=0.047	8	17.0	6.0	0.0	1.0	0.0	5.0	0.0	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis		0.001024276410684	0.0850474587982273	1.3202604446014234	1.7050968384856209			ibd_uc_stromal:1.32,p=0.001;ibd_uc_epithelial:1.06,p=0.0027;t1d_endothelial_cell:0.386,p=0.0087;psoriasis_keratinocyte:1.07,p=0.022;ibd_crohn_stromal:0.684,p=0.042;sjogren_gland_stromal:0.547,p=0.049	False	-0.386249849366223	-0.3945835465754231	0.3480428652732463	0.9141270983319502							0.3169091117414213	-1.1830908882585789	1.5	0.0	1.0		MS		False	False	0.0	23.015845455587073					5.25	CHEMBL2159	Nucleoside diphosphate kinase A	SINGLE PROTEIN	Homo sapiens	4	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=NME1&limit=10	P15531	Nucleoside diphosphate kinase A	Catalyzes the transfer of a gamma-phosphoryl group from a nucleoside triphosphate, mainly ATP, to a nucleoside diphosphate via a ping-pong mechanism involving a phosphohistidine intermediate, therefore contributing to the nucleoside triphosphate homeostasis (PubMed:10952986, PubMed:14960567, PubMed:16313181, PubMed:1851158, PubMed:23519676, PubMed:33903070, PubMed:8810265, PubMed:9038158). Also phosphorylates geranyl pyrophosphate (GPP) and farnesyl pyrophosphate (FPP), linking it to isoprenoid metabolism (PubMed:10952986). Additionally, functions as a non-specific serine/threonine kinase and histidine protein kinase, transferring phosphoryl groups from its active site to target proteins (PubMed:8529641, PubMed:9038158). May function as a Mg(2+)-dependent single-stranded DNA endonuclease a	Cytoplasm;Nucleus;Cell membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ANME1%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases	accessible_biologic_or_surface				
TNFAIP8	top_rank	17.0	3.0	0.0	False	0.2353293345774378	0.5204890692348256	False	2	1	0	1	1	0	0	1	1	ibd_uc_stromal:ulcerative colitis	ibd_uc_stromal:0.676,p=0.0024;ibd_uc_myeloid:0.346,p=0.043	ibd_uc_stromal|complement_effector:0.685,p=0.00028;ibd_uc_stromal|lysosomal_apc:0.708,p=0.00073;ibd_uc_stromal|core_lysosomal_lipid:0.578,p=0.0016;ibd_uc_stromal|ifn_apc:0.672,p=0.0021;ibd_uc_stromal|hla_ii_apc:0.655,p=0.0036;ibd_uc_stromal|lipid_loader_repair:0.558,p=0.0081;ibd_uc_stromal|inflammatory_nfkb:0.594,p=0.01;ibd_uc_stromal|hif_nampt_metabolic:0.499,p=0.012	8	17.0	6.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		3.444535646546922e-05	0.0184281138026181	1.8230010133368069	1.4966622133119691			ibd_uc_stromal:1.82,p=3.4e-05;ibd_crohn_epithelial:0.799,p=0.0057;t1d_endothelial_cell:1.64,p=0.012;ibd_uc_myeloid:0.874,p=0.016;ibd_crohn_myeloid:1.1,p=0.024;t1d_stellate_cell:1.76,p=0.041	False	0.2353293345774378	0.2742224021646535	0.5204890692348256	0.9352591033176444															False	False	0.0	17.0					5.25					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=TNFAIP8&limit=10	O95379	Tumor necrosis factor alpha-induced protein 8	Acts as a negative mediator of apoptosis and may play a role in tumor progression. Suppresses the TNF-mediated apoptosis by inhibiting caspase-8 activity but not the processing of procaspase-8, subsequently resulting in inhibition of BID cleavage and caspase-3 activation	Cytoplasm	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ATNFAIP8%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	breadth_below_4_diseases;weak_external_modality	none_detected				
FKBP1A	four_disease_low_contradiction	16.02885674584491	4.0	1.0	False	-0.3348545094591504	0.2385454869670045	False	4	4	0	4	4	2	2	0	0		ibd_uc_myeloid:0.497,p=0.005;t1d_acinar_cell:0.529,p=0.015;psoriasis_skin_stromal:0.329,p=0.021;ibd_crohn_myeloid:0.315,p=0.033	t1d_acinar_cell|lysosomal_apc:0.352,p=0.0032;t1d_acinar_cell|ifn_apc:0.32,p=0.0042;psoriasis_skin_stromal|lipid_loader_repair:0.334,p=0.014;ibd_crohn_myeloid|lipid_loader_repair:0.341,p=0.016;t1d_acinar_cell|hla_ii_apc:0.419,p=0.017;psoriasis_skin_stromal|hif_nampt_metabolic:0.32,p=0.018;psoriasis_skin_stromal|inflammatory_nfkb:0.33,p=0.018;psoriasis_skin_stromal|c1q_phagocytic_myeloid:0.341,p=0.02	8	17.0	8.0	1.0	0.0	0.0	4.0	1.0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0052104925826809	0.1829694581295184	1.58757564873859	1.6098660559385896	0.048914474236536	-0.8504464048813389	ibd_crohn_myeloid:0.779,p=0.0052;ibd_uc_myeloid:0.689,p=0.0076;ibd_uc_stromal:1.59,p=0.011;t1d_stellate_cell:0.659,p=0.012;t1d_acinar_cell:0.812,p=0.015;psoriasis_skin_stromal:0.836,p=0.026;ibd_crohn_stromal:1.25,p=0.031;t1d_ductal_cell:0.419,p=0.033	False	-0.3348545094591504	-0.5152415409947362	0.2385454869670045	0.9004758652001262							0.5771349168981448	-0.9228650831018552	1.5	0.0	0.0				False	False	0.0	16.02885674584491					5.0	CHEMBL1902	Peptidyl-prolyl cis-trans isomerase FKBP1A	SINGLE PROTEIN	Homo sapiens	1023	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=FKBP1A&limit=10	P62942	Peptidyl-prolyl cis-trans isomerase FKBP1A	Keeps in an inactive conformation TGFBR1, the TGF-beta type I serine/threonine kinase receptor, preventing TGF-beta receptor activation in absence of ligand. Recruits SMAD7 to ACVR1B which prevents the association of SMAD2 and SMAD3 with the activin receptor complex, thereby blocking the activin signal. May modulate the RYR1 calcium channel activity. PPIases accelerate the folding of proteins. It catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides	Cytoplasm, cytosol;Sarcoplasmic reticulum membrane	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AFKBP1A%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	accessible_biologic_or_surface				
HAPLN3	top_rank	18.0	3.0	0.0	False	0.8526766392396308	0.3481001034968946	False	6	4	0	4	4	2	2	0	0		psoriasis_skin_apc:1.03,p=0.0016;t1d_acinar_cell:0.205,p=0.011;ibd_crohn_stromal:0.392,p=0.014;t1d_ductal_cell:0.218,p=0.018;ibd_uc_myeloid:0.226,p=0.018;ibd_uc_stromal:0.554,p=0.031	psoriasis_skin_apc|c1q_phagocytic_myeloid:1.03,p=0.0011;psoriasis_skin_apc|complement_phagocytosis:1.03,p=0.0015;psoriasis_skin_apc|hif_nampt_metabolic:0.979,p=0.0035;psoriasis_skin_apc|mif_cd74_receptor_state:0.937,p=0.004;ibd_uc_stromal|hla_ii_apc:0.475,p=0.0046;ibd_uc_stromal|lysosomal_apc:0.632,p=0.0059;ibd_uc_stromal|ifn_apc:0.587,p=0.007;ibd_crohn_stromal|lysosomal_apc:0.405,p=0.0081	8	17.0	7.0	0.0	1.0	0.0	3.0	0.0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		5.437187007988261e-06	0.0182678609094389	3.4129951258792435	1.842575569066473			t1d_acinar_cell:2.13,p=5.4e-06;t1d_ductal_cell:1.92,p=0.00046;ibd_crohn_myeloid:3.41,p=0.0078;ibd_uc_epithelial:1.63,p=0.012;ibd_crohn_stromal:1.15,p=0.026;ibd_uc_stromal:1.23,p=0.029;ibd_uc_myeloid:2.31,p=0.04	False	0.8526766392396308	0.3930647359603586	0.3481001034968946	0.9141270983319502															False	False	0.0	18.0					5.0					0	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=HAPLN3&limit=10	Q96S86	Hyaluronan and proteoglycan link protein 3	May function in hyaluronic acid binding	Secreted, extracellular space, extracellular matrix	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3AHAPLN3%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	accessible_biologic_or_surface				
CD74	four_disease_low_contradiction;mechanistic_scout	14.5	4.0	1.0	False	0.2553907019006836	0.2187160729350419	False	5	4	0	5	4	3	2	0	0		t1d_ductal_cell:0.544,p=0.00038;sjogren_gland_epithelial:0.362,p=0.0017;ibd_crohn_epithelial:0.946,p=0.013;ibd_uc_epithelial:0.77,p=0.017;t1d_stellate_cell:0.613,p=0.018	t1d_ductal_cell|lipid_loader_repair:0.556,p=0.00025;sjogren_gland_epithelial|complement_effector:0.377,p=0.00042;sjogren_gland_epithelial|lipid_loader_repair:0.38,p=0.00063;t1d_ductal_cell|c1q_phagocytic_myeloid:0.539,p=0.00063;sjogren_gland_epithelial|hif_nampt_metabolic:0.376,p=0.00073;t1d_ductal_cell|complement_phagocytosis:0.489,p=0.00078;sjogren_gland_epithelial|core_lysosomal_lipid:0.37,p=0.00085;sjogren_gland_epithelial|lysosomal_apc:0.376,p=0.00091	8	17.0	6.0	1.0	0.0	0.0	4.0	1.0	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus;ulcerative colitis	ulcerative colitis	0.0001493188557005	0.1521083558094026	3.4924642000814563	1.6610284278730123	0.0286731100130888	-0.8457538295667728	sjogren_gland_epithelial:1.5,p=0.00015;t1d_ductal_cell:0.993,p=0.00077;t1d_stellate_cell:2.15,p=0.0027;ibd_uc_epithelial:3.49,p=0.0052;ibd_crohn_epithelial:3.09,p=0.0091;t1d_acinar_cell:1.63,p=0.015	False	0.2553907019006836	0.5415320486815584	0.2187160729350419	0.8993702893651148	1.0	AS	0.0209243668686555			datatype_literature									False	False	1.0	14.5	0.0		no_go	no_genetic_anchor	5.0	CHEMBL4692	HLA class II histocompatibility antigen gamma chain	SINGLE PROTEIN	Homo sapiens	25	https://www.ebi.ac.uk/chembl/api/data/target/search.json?q=CD74&limit=10	P04233	HLA class II histocompatibility antigen gamma chain	Stabilizes the conformation of mature CTSL by binding to its active site and serving as a chaperone to help maintain a pool of mature enzyme in endocytic compartments and extracellular space of antigen-presenting cells (APCs). Has antiviral activity by stymieing the endosomal entry of Ebola virus and coronaviruses, including SARS-CoV-2 (PubMed:32855215). Disrupts cathepsin-mediated Ebola virus glycoprotein processing, which prevents viral fusion and entry. This antiviral activity is specific to p41 isoform (PubMed:32855215)	Late endosome;Lysosome	https://rest.uniprot.org/uniprotkb/search?query=%28gene_exact%3ACD74%29+AND+%28organism_id%3A9606%29+AND+%28reviewed%3Atrue%29&format=json&fields=accession%2Cgene_names%2Cprotein_name%2Ccc_function%2Ccc_subcellular_location%2Cft_act_site%2Cft_binding&size=1	DEMOTE_WAVE21	no_strict_core_residual_survival;breadth_below_4_diseases	chembl_single_target_activity				
