gene	gate_call	priority_score	gate_reason	gate_failures_or_review_flags	biology_class	expected_intervention_direction	modality_score	modality_evidence	guardrail_class	guardrail_reason	strict_core_covariate_surviving_disease_count	strict_core_covariate_surviving_analysis_count	strict_core_covariate_surviving_analyses	retained_positive_disease_count	non_ibd_retained_positive_disease_count	broad_positive_disease_count	broad_negative_disease_count	positive_diseases	top_positive_compartments	ms_anchor	ms_wm_delta_log2	ms_wm_p	ot_credible_disease_count_ge_0_5	ot_credible_diseases_ge_0_5	ot_candidate_hit_genetic_disease_count	opentargets_disease_count_any	chembl_target_chembl_id	chembl_target_pref_name	chembl_activity_total_count	chembl_activity_values_nM_count	chembl_best_standard_value_nM	uniprot_accession	protein_name	uniprot_locations	uniprot_keywords	prior_exclusion_sources	prior_exclusion_calls	prior_exclusion_reasons	manual_blocker
CXCL8	NO_GO	5.5	fails hard local/API gate	prior_exhausted_route: generic inflammatory chemokine route without a new population or delivery delta; intervention direction remains unclear	Interleukin-8	unclear from expression-only residual data	3.0	ChEMBL-rich target (656 activity records); UniProt suggests membrane/secreted/extracellular accessibility	prior_exhausted_route	generic inflammatory chemokine route without a new population or delivery delta	1	1	ibd_uc_stromal:ulcerative colitis	2	1	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	t1d_acinar_cell:2.72,p=4.5e-05;t1d_ductal_cell:1.86,p=0.00014;ibd_uc_stromal:2.94,p=0.0059;t1d_beta_cell:3.33,p=0.0065;ibd_crohn_stromal:3.65,p=0.021;ibd_crohn_myeloid:2.58,p=0.036;ibd_uc_myeloid:2.36,p=0.04	False	-0.0879956974423397	0.8090528791592078	0		0	0	CHEMBL2157	Interleukin-8	656.0	1.0	383000.0	P10145	Interleukin-8	Secreted		static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:generic inflammatory chemokine route without a new population or delivery delta	
CBX3	NO_GO	5.25	fails hard local/API gate	core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear	Chromobox protein homolog 3	unclear from expression-only residual data	2.0	ChEMBL activity present (4 records); UniProt suggests enzymatic/catalytic biology	core_machinery	core machinery/stress/structural marker without selective intervention delta	1	1	ibd_uc_stromal:ulcerative colitis	3	2	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_epithelial:0.379,p=0.0012;ibd_uc_stromal:0.706,p=0.0014;psoriasis_skin_stromal:0.495,p=0.0031;t1d_stellate_cell:0.392,p=0.0038;t1d_acinar_cell:0.707,p=0.0083;psoriasis_keratinocyte:0.812,p=0.012;ibd_uc_myeloid:0.378,p=0.026;t1d_ductal_cell:0.376,p=0.027	True	0.3505111291715241	0.0165873089490037	0		0	0	CHEMBL3826866	Chromobox protein homolog 3	4.0	1.0	100000.0	Q13185	Chromobox protein homolog 3	Nucleus		static_wave21_guardrail;wave20_orchestrator;wave20_unrestricted	CORE_MACHINERY;PARK_FOR_WORKER_REVIEW;ADJACENT_HOLD_GENERIC	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta | wave20_unrestricted:manual_reason=chromatin/proliferation-associated; no clear lipid-lysosomal intervention point; wave20_rationale=The only strict residual positive in this set, but it is a chromatin/proliferation marker with no tractable safe direction.	
IL7R	NO_GO	5.25	fails hard local/API gate	prior_exhausted_route: generic cytokine-receptor autoimmune target class with direct prior art; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	cytokine receptor	blockade or pathway modulation, but this is a generic lymphocyte cytokine route	2.5	UniProt suggests membrane/secreted/extracellular accessibility; manual class prior: cytokine receptor	prior_exhausted_route	generic cytokine-receptor autoimmune target class with direct prior art	1	1	ibd_uc_stromal:ulcerative colitis	2	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_myeloid:6.77,p=4.4e-05;ibd_crohn_myeloid:5.71,p=0.00013;ibd_uc_stromal:4.43,p=0.0014;t1d_stellate_cell:2.44,p=0.027	False	-0.6536992297096775	0.5724603142052797	0		0	0						P16871	Interleukin-7 receptor subunit alpha	Cell membrane;Secreted		static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:generic cytokine-receptor autoimmune target class with direct prior art	Druggable in principle, but prior-arted generic cytokine receptor biology and local strict signal is weak.
PDPN	NO_GO	5.0	fails hard local/API gate	no actionable modality from ChEMBL/UniProt/manual class audit; prior_exhausted_route: stromal/repair surface marker with repair-liability prior concern; no new direction delta; intervention direction remains unclear	stromal surface glycoprotein	unclear; stromal/lymphatic targeting carries repair and vascular liability	1.75	UniProt suggests membrane/secreted/extracellular accessibility; manual class prior: stromal surface glycoprotein	prior_exhausted_route	stromal/repair surface marker with repair-liability prior concern; no new direction delta	1	1	ibd_uc_stromal:ulcerative colitis	2	1	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:2.28,p=0.00038;ibd_crohn_stromal:1.69,p=0.0026;ibd_uc_myeloid:2.26,p=0.022;t1d_ductal_cell:0.849,p=0.026;psoriasis_keratinocyte:0.965,p=0.034	False	0.1646831166015037	0.49717795424805	0		0	0						Q86YL7	Podoplanin	Apical cell membrane;Basolateral cell membrane;Cell projection, filopodium membrane;Cell projection, invadopodium;Cell projection, lamellipodium membrane;Cell projection, microvillus membrane;Cell projection, ruffle membrane;Cytoplasm, cytosol;Membrane;Membrane raft		static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:stromal/repair surface marker with repair-liability prior concern; no new direction delta	Surface accessibility is not enough; no safe autoimmune intervention direction emerged.
TNFAIP8	NO_GO	3.5	fails hard local/API gate	no actionable modality from ChEMBL/UniProt/manual class audit; intervention direction remains unclear; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	intracellular TNFAIP8-family immune regulator	unclear	0.5	manual class prior: intracellular TNFAIP8-family immune regulator			1	1	ibd_uc_stromal:ulcerative colitis	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_stromal:1.82,p=3.4e-05;ibd_crohn_epithelial:0.799,p=0.0057;t1d_endothelial_cell:1.64,p=0.012;ibd_uc_myeloid:0.874,p=0.016;ibd_crohn_myeloid:1.1,p=0.024;t1d_stellate_cell:1.76,p=0.041	False	0.2353293345774378	0.5204890692348256	0		0	0						O95379	Tumor necrosis factor alpha-induced protein 8	Cytoplasm					Intracellular regulator with no explicit direct modality or disease-cell perturbation package.
MPHOSPH6	NO_GO	3.25	fails hard local/API gate	core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear	M-phase phosphoprotein 6	unclear from expression-only residual data	3.0	ChEMBL activity present (2 records); sub-100 nM ChEMBL potency observed (7.206 nM)	core_machinery	core machinery/stress/structural marker without selective intervention delta	1	1	ibd_uc_stromal:ulcerative colitis	2	1	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_myeloid:1.49,p=2.9e-06;t1d_beta_cell:1.39,p=1.9e-05;t1d_acinar_cell:1.24,p=0.0043;psoriasis_keratinocyte:1.4,p=0.0059;t1d_stellate_cell:1.42,p=0.018;ibd_uc_stromal:0.832,p=0.019;t1d_ductal_cell:0.959,p=0.019;t1d_endothelial_cell:1.44,p=0.043	False	-0.5952492354373149	0.1685973390358947	0		0	0	CHEMBL6066427	M-phase phosphoprotein 6	2.0	1.0	7.206	Q99547	M-phase phosphoprotein 6	Cytoplasm;Nucleus, nucleolus		static_wave21_guardrail	CORE_MACHINERY	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta	
ACSL3	NO_GO	3.25	fails hard local/API gate	prior_exhausted_route: lipid-metabolism adjacent route; no new intervention delta beyond prior lipid-handling failures; intervention direction remains unclear; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	Fatty acid CoA ligase Acsl3	unclear from expression-only residual data	2.0	ChEMBL activity present (8 records); UniProt suggests enzymatic/catalytic biology	prior_exhausted_route	lipid-metabolism adjacent route; no new intervention delta beyond prior lipid-handling failures	1	1	ibd_crohn_stromal:Crohn disease	2	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_epithelial:1.07,p=5.9e-05;ibd_crohn_stromal:0.806,p=0.0086;ibd_uc_stromal:0.388,p=0.018;ibd_uc_epithelial:0.896,p=0.03;t1d_endothelial_cell:0.965,p=0.032	False	0.2210563122194138	0.2754311664874719	0		0	0	CHEMBL4680023	Fatty acid CoA ligase Acsl3	8.0	1.0	200000.0	O95573	Fatty acid CoA ligase Acsl3	Endoplasmic reticulum membrane;Microsome membrane;Mitochondrion outer membrane;Peroxisome membrane		static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:lipid-metabolism adjacent route; no new intervention delta beyond prior lipid-handling failures	
COL4A1	NO_GO	2.5	fails hard local/API gate	no actionable modality from ChEMBL/UniProt/manual class audit; core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear	Collagen alpha-1(IV) chain	unclear from expression-only residual data	1.5	UniProt suggests membrane/secreted/extracellular accessibility	core_machinery	core machinery/stress/structural marker without selective intervention delta	1	1	ibd_crohn_stromal:Crohn disease	3	1	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	ibd_crohn_stromal:2.34,p=3.1e-05;psoriasis_skin_stromal:1.9,p=0.0052;ibd_uc_stromal:1.7,p=0.016;t1d_acinar_cell:1.53,p=0.022;psoriasis_skin_apc:1.85,p=0.026	False	0.1822153154682535	0.8835701022678253	0		0	0						P02462	Collagen alpha-1(IV) chain	Secreted, extracellular space, extracellular matrix, basement membrane		static_wave21_guardrail	CORE_MACHINERY	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta	
SEC61A1	NO_GO	2.5	fails hard local/API gate	core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear	Protein transport protein Sec61 subunit alpha isoform 1	unclear from expression-only residual data	3.0	ChEMBL activity present (3 records); sub-100 nM ChEMBL potency observed (50.78 nM); UniProt suggests membrane/secreted/extracellular accessibility	core_machinery	core machinery/stress/structural marker without selective intervention delta	1	1	ibd_crohn_stromal:Crohn disease	2	1	3	0	Crohn disease;psoriasis;ulcerative colitis	ibd_crohn_epithelial:0.799,p=0.0011;ibd_uc_epithelial:0.883,p=0.0078;psoriasis_keratinocyte:0.9,p=0.011;ibd_crohn_stromal:0.814,p=0.011;psoriasis_skin_stromal:0.92,p=0.021;psoriasis_skin_apc:0.968,p=0.043	False	-0.0775050827248335	0.5742291621491669	0		0	0	CHEMBL5725113	Protein transport protein Sec61 subunit alpha isoform 1	3.0	1.0	50.78	P61619	Protein transport protein Sec61 subunit alpha isoform 1	Endoplasmic reticulum membrane		static_wave21_guardrail	CORE_MACHINERY	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta	
ACSL1	NO_GO	2.25	fails hard local/API gate	broad disease recurrence below three diseases; prior_exhausted_route: prior V2/V3 lipid-metabolism route; local strict signal is IBD-stromal only and intervention direction remains unsafe; intervention direction remains unclear; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	Long-chain-fatty-acid--CoA ligase 1	unclear from expression-only residual data	3.0	ChEMBL activity present (41 records); sub-100 nM ChEMBL potency observed (3 nM); UniProt suggests enzymatic/catalytic biology	prior_exhausted_route	prior V2/V3 lipid-metabolism route; local strict signal is IBD-stromal only and intervention direction remains unsafe	1	1	ibd_crohn_stromal:Crohn disease	2	0	2	1	Crohn disease;ulcerative colitis	ibd_crohn_stromal:2.48,p=0.0016;ibd_crohn_myeloid:3.08,p=0.014;ibd_uc_myeloid:3.11,p=0.016;ibd_crohn_epithelial:0.868,p=0.021	False	0.0335463402392637	0.9588038259244676	0		0	0	CHEMBL4295746	Long-chain-fatty-acid--CoA ligase 1	41.0	1.0	3.0	P33121	Long-chain-fatty-acid--CoA ligase 1	Endoplasmic reticulum membrane;Microsome membrane;Mitochondrion outer membrane;Peroxisome membrane		static_wave21_guardrail	EXCLUDED_OR_DEMOTED_ROUTE	static_wave21_guardrail:prior V2/V3 lipid-metabolism route; local strict signal is IBD-stromal only and intervention direction remains unsafe	
SEC61B	NO_GO	1.5	fails hard local/API gate	core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear	Protein transport protein Sec61 subunit beta	unclear from expression-only residual data	2.0	ChEMBL activity present (4 records); UniProt suggests membrane/secreted/extracellular accessibility	core_machinery	core machinery/stress/structural marker without selective intervention delta	1	1	ibd_uc_stromal:ulcerative colitis	2	1	3	0	Sjogren syndrome;psoriasis;ulcerative colitis	ibd_uc_stromal:0.624,p=0.00087;psoriasis_skin_apc:0.631,p=0.0088;ibd_uc_epithelial:0.501,p=0.018;psoriasis_keratinocyte:0.508,p=0.018;psoriasis_skin_stromal:0.563,p=0.025;sjogren_gland_apc:0.417,p=0.028	False	0.0379228326077143	0.8814268776848122	0		0	0	CHEMBL6067175	Protein transport protein Sec61 subunit beta	4.0	1.0	3000.78	P60468	Protein transport protein Sec61 subunit beta	Endoplasmic reticulum membrane		static_wave21_guardrail	CORE_MACHINERY	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta	
PPIB	NO_GO	0.5	fails hard local/API gate	core_machinery: core machinery/stress/structural marker without selective intervention delta; intervention direction remains unclear; no genetics, MS anchor, or non-IBD residual support to offset IBD-only strict signal	Peptidyl-prolyl cis-trans isomerase B	unclear from expression-only residual data	3.0	ChEMBL-rich target (156 activity records); sub-100 nM ChEMBL potency observed (9.8 nM); UniProt suggests enzymatic/catalytic biology	core_machinery	core machinery/stress/structural marker without selective intervention delta	1	1	ibd_uc_stromal:ulcerative colitis	1	0	3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	ibd_uc_epithelial:1.14,p=2.8e-05;ibd_uc_stromal:0.795,p=0.0013;ibd_uc_myeloid:0.478,p=0.0037;t1d_acinar_cell:0.29,p=0.025;ibd_crohn_epithelial:0.514,p=0.031	False	-0.3697988200867144	0.0770967095708424	0		0	0	CHEMBL2075	Peptidyl-prolyl cis-trans isomerase B	156.0	1.0	9.8	P23284	Peptidyl-prolyl cis-trans isomerase B	Endoplasmic reticulum lumen;Melanosome;Virion		static_wave21_guardrail	CORE_MACHINERY	static_wave21_guardrail:core machinery/stress/structural readout; no selective intervention delta	
