gene	chembl_status	chembl_search_hit_count	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	uniprot_status	uniprot_accession	uniprot_entry	protein_name	sequence_length	uniprot_locations	uniprot_keywords	uniprot_function_excerpt	uniprot_active_binding_feature_count	uniprot_active_binding_features	uniprot_accessible_hint	uniprot_enzyme_hint	chembl_target_organism	chembl_target_gene_symbols	chembl_activity_total_count	chembl_activity_values_nM_count	chembl_unique_molecules_returned	chembl_best_standard_value_nM	chembl_median_standard_value_nM	chembl_activity_type_counts
RPL17	target_found	2	CHEMBL6066947	Large ribosomal subunit protein uL22	SINGLE PROTEIN	found	P18621	RL17_HUMAN	Large ribosomal subunit protein uL22	184	Cytoplasm	3D-structure;Alternative splicing;Cytoplasm;Diamond-Blackfan anemia;Direct protein sequencing;Proteomics identification;Reference proteome;Ribonucleoprotein;Ribosomal protein	Component of the large ribosomal subunit (PubMed:12962325, PubMed:23636399, PubMed:32669547). The ribosome is a large ribonucleoprotein complex responsible for the synthesis of proteins in the cell (PubMed:12962325, PubMed:23636399, PubMed:32669547)	0		False	False	Homo sapiens	RPL17	2.0	2.0	2.0	6614.55	11203.0	"{""Kd"": 2}"
CXCL8	target_found	1	CHEMBL2157	Interleukin-8	SINGLE PROTEIN	found	P10145		Interleukin-8		Secreted		Chemotactic factor that mediates inflammatory response by attracting neutrophils, basophils, and T-cells to clear pathogens and protect the host from infection (PubMed:18692776, PubMed:7636208). Also plays an important role in neutrophil activation (PubMed:2145175, PubMed:9623510). Released in response to an inflammatory stimulus, exerts its effect by binding to the G-protein-coupled receptors CXCR1 and CXCR2, primarily found in neutrophils, monocytes and endothelial cells (PubMed:1840701, PubMe	0		True	False	Homo sapiens	CXCL8	656.0	1.0	1.0	383000.0	383000.0	"{""Ki"": 1}"
PDPN	no_human_target	0				found	Q86YL7		Podoplanin		Apical cell membrane;Basolateral cell membrane;Cell projection, filopodium membrane;Cell projection, invadopodium;Cell projection, lamellipodium membrane;Cell projection, microvillus membrane;Cell projection, ruffle membrane;Cytoplasm, cytosol;Membrane;Membrane raft		Mediates effects on cell migration and adhesion through its different partners. During development plays a role in blood and lymphatic vessels separation by binding CLEC1B, triggering CLEC1B activation in platelets and leading to platelet activation and/or aggregation (PubMed:14522983, PubMed:15231832, PubMed:17222411, PubMed:17616532, PubMed:18215137). Interaction with CD9, on the contrary, attenuates platelet aggregation induced by PDPN (PubMed:18541721). Through MSN or EZR interaction promote	0		True	False								
MPHOSPH6	target_found	1	CHEMBL6066427	M-phase phosphoprotein 6	SINGLE PROTEIN	found	Q99547		M-phase phosphoprotein 6		Cytoplasm;Nucleus, nucleolus		RNA-binding protein that associates with the RNA exosome complex. Involved in the 3'-processing of the 7S pre-RNA to the mature 5.8S rRNA and play a role in recruiting the RNA exosome complex to pre-rRNA; this function may include C1D	0		False	False	Homo sapiens	MPHOSPH6	2.0	1.0	1.0	7.206	7.206	"{""Kd"": 1}"
ACSL3	target_found	1	CHEMBL4680023	Fatty acid CoA ligase Acsl3	SINGLE PROTEIN	found	O95573		Fatty acid CoA ligase Acsl3		Endoplasmic reticulum membrane;Microsome membrane;Mitochondrion outer membrane;Peroxisome membrane		Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:22633490). Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins) (PubMed:18003621). Has mainly an anabolic role in energy metabolism. Mediates hepatic lipogenesis. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates.	0		False	True	Homo sapiens	ACSL3	8.0	1.0	1.0	200000.0	200000.0	"{""IC50"": 1}"
PDLIM7	no_human_target	0				found	Q9NR12		PDZ and LIM domain protein 7		Cytoplasm;Cytoplasm, cytoskeleton		May function as a scaffold on which the coordinated assembly of proteins can occur. May play a role as an adapter that, via its PDZ domain, localizes LIM-binding proteins to actin filaments of both skeletal muscle and nonmuscle tissues. Involved in both of the two fundamental mechanisms of bone formation, direct bone formation (e.g. embryonic flat bones mandible and cranium), and endochondral bone formation (e.g. embryonic long bone development). Plays a role during fracture repair. Involved in 	0		False	False								
PTPRE	target_found	1	CHEMBL4850	Receptor-type tyrosine-protein phosphatase epsilon	SINGLE PROTEIN	found	P23469		Receptor-type tyrosine-protein phosphatase epsilon		Cell membrane;Cytoplasm		Isoform 1 plays a critical role in signaling transduction pathways and phosphoprotein network topology in red blood cells. May play a role in osteoclast formation and function (By similarity) Isoform 2 acts as a negative regulator of insulin receptor (IR) signaling in skeletal muscle. Regulates insulin-induced tyrosine phosphorylation of insulin receptor (IR) and insulin receptor substrate 1 (IRS-1), phosphorylation of protein kinase B and glycogen synthase kinase-3 and insulin induced stimulati	5	Active site:Phosphocysteine intermediate;Active site:Phosphocysteine intermediate;Binding site;Binding site;Binding site	True	True	Homo sapiens	PTPRE	61.0	1.0	1.0	500000.0	500000.0	"{""IC50"": 1}"
IL7R	no_human_target	0				found	P16871		Interleukin-7 receptor subunit alpha		Cell membrane;Secreted		Receptor for interleukin-7. Also acts as a receptor for thymic stromal lymphopoietin (TSLP)	0		True	False								
SEC61B	target_found	1	CHEMBL6067175	Protein transport protein Sec61 subunit beta	SINGLE PROTEIN	found	P60468		Protein transport protein Sec61 subunit beta		Endoplasmic reticulum membrane		Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:12475939). The SEC61 channel is also involved in ER membrane insertion of transmembrane proteins: it mediates membrane insertion of the first few transmembrane 	0		True	False	Homo sapiens	SEC61B	4.0	1.0	1.0	3000.78	3000.78	"{""Kd"": 1}"
SEC61A1	target_found	1	CHEMBL5725113	Protein transport protein Sec61 subunit alpha isoform 1	SINGLE PROTEIN	found	P61619		Protein transport protein Sec61 subunit alpha isoform 1		Endoplasmic reticulum membrane		Component of SEC61 channel-forming translocon complex that mediates transport of signal peptide-containing precursor polypeptides across the endoplasmic reticulum (ER) (PubMed:12475939, PubMed:22375059, PubMed:28782633, PubMed:29719251, PubMed:32814900). Forms a ribosome receptor and a gated pore in the ER membrane, both functions required for cotranslational translocation of nascent polypeptides (PubMed:22375059, PubMed:28782633, PubMed:29719251). May cooperate with auxiliary protein SEC62, SEC	0		True	False	Homo sapiens	SEC61A1	3.0	1.0	1.0	50.78	50.78	"{""Kd"": 1}"
PPIB	target_found	1	CHEMBL2075	Peptidyl-prolyl cis-trans isomerase B	SINGLE PROTEIN	found	P23284		Peptidyl-prolyl cis-trans isomerase B		Endoplasmic reticulum lumen;Melanosome;Virion		PPIase that catalyzes the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and may therefore assist protein folding	0		False	True	Homo sapiens	PPIB	156.0	1.0	1.0	9.8	9.8	"{""Kd"": 1}"
NME1	target_found	2	CHEMBL2159	Nucleoside diphosphate kinase A	SINGLE PROTEIN	found	P15531		Nucleoside diphosphate kinase A		Cell membrane;Cytoplasm;Nucleus		Catalyzes the transfer of a gamma-phosphoryl group from a nucleoside triphosphate, mainly ATP, to a nucleoside diphosphate via a ping-pong mechanism involving a phosphohistidine intermediate, therefore contributing to the nucleoside triphosphate homeostasis (PubMed:10952986, PubMed:14960567, PubMed:16313181, PubMed:1851158, PubMed:23519676, PubMed:33903070, PubMed:8810265, PubMed:9038158). Also phosphorylates geranyl pyrophosphate (GPP) and farnesyl pyrophosphate (FPP), linking it to isoprenoid 	40	Active site:Pros-phosphohistidine intermediate;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site;Binding site	True	True	Homo sapiens	NME1	4.0	1.0	1.0	2019.4	2019.4	"{""Kd"": 1}"
TNFAIP8	no_human_target	0				found	O95379		Tumor necrosis factor alpha-induced protein 8		Cytoplasm		Acts as a negative mediator of apoptosis and may play a role in tumor progression. Suppresses the TNF-mediated apoptosis by inhibiting caspase-8 activity but not the processing of procaspase-8, subsequently resulting in inhibition of BID cleavage and caspase-3 activation	0		False	False								
ACSL1	target_found	2	CHEMBL4295746	Long-chain-fatty-acid--CoA ligase 1	SINGLE PROTEIN	found	P33121		Long-chain-fatty-acid--CoA ligase 1		Endoplasmic reticulum membrane;Microsome membrane;Mitochondrion outer membrane;Peroxisome membrane		Catalyzes the conversion of long-chain fatty acids to their active form acyl-CoAs for both synthesis of cellular lipids, and degradation via beta-oxidation (PubMed:21242590, PubMed:22633490, PubMed:24269233). Preferentially uses palmitoleate, oleate and linoleate (PubMed:24269233). Preferentially activates arachidonate than epoxyeicosatrienoic acids (EETs) or hydroxyeicosatrienoic acids (HETEs) (By similarity)	0		False	True	Homo sapiens	ACSL1	41.0	1.0	1.0	3.0	3.0	"{""IC50"": 1}"
TGM2	target_found	7	CHEMBL2730	Protein-glutamine gamma-glutamyltransferase	SINGLE PROTEIN	found	P21980		Protein-glutamine gamma-glutamyltransferase 2		Cell membrane;Chromosome;Cytoplasm, cytosol;Cytoplasm, perinuclear region;Mitochondrion;Nucleus;Secreted, extracellular space, extracellular matrix		Calcium-dependent acyltransferase that catalyzes the formation of covalent bonds between peptide-bound glutamine and various primary amines, such as gamma-amino group of peptide-bound lysine, or mono- and polyamines, thereby producing cross-linked or aminated proteins, respectively (PubMed:23941696, PubMed:31991788, PubMed:9252372). Involved in many biological processes, such as bone development, angiogenesis, wound healing, cellular differentiation, chromatin modification and apoptosis (PubMed:	11	Active site;Active site;Active site;Binding site;Binding site;Binding site;Binding site;Binding site	True	True	Homo sapiens	TGM2	807.0	1.0	1.0	280.0	280.0	"{""IC50"": 1}"
