candidate	n_evidence_records	sources	best_direct_selectivity_score	best_direct_target_suppression	best_direct_target_vs_ifn_margin	direct_evidence_calls	gse162463_mhcii_low_gate_rank_if_available	nomination_strength	nomination_priority	gene_norm
FOS	2	Mixscale_CRISPRi	-0.0015802912537948	0.0	0.0	null_or_wrong_direction		not_nominated	6	FOS
PARP12	2	Mixscale_CRISPRi	-0.0025643066609787	0.0	0.0	null_or_wrong_direction		not_nominated	6	PARP12
MAFB	1	Mixscale_CRISPRi	-0.0026762210753615	0.0	0.0	null_or_wrong_direction		not_nominated	6	MAFB
MAPK9	1	Mixscale_CRISPRi	-0.0028954911090973	0.0	0.0	null_or_wrong_direction		not_nominated	6	MAPK9
PRDM1	1	Mixscale_CRISPRi	-0.0029204183808801	0.0	0.0	null_or_wrong_direction		not_nominated	6	PRDM1
PIK3CA	2	Mixscale_CRISPRi	-0.0030035123575395	0.0	0.0	null_or_wrong_direction		not_nominated	6	PIK3CA
FMNL2	1	Mixscale_CRISPRi	-0.0034002539524828	0.0	0.0	null_or_wrong_direction		not_nominated	6	FMNL2
ARID5B	1	Mixscale_CRISPRi	-0.0035534934622838	0.0	-0.0012376993934346	null_or_wrong_direction		not_nominated	6	ARID5B
IRF5	1	Mixscale_CRISPRi	-0.0036262518537249	0.0	0.0	null_or_wrong_direction		not_nominated	6	IRF5
RARRES3	1	Mixscale_CRISPRi	-0.0041273244511597	0.0	0.0	null_or_wrong_direction		not_nominated	6	RARRES3
TSC22D1	1	Mixscale_CRISPRi	-0.0048101180633716	0.0	0.0	null_or_wrong_direction		not_nominated	6	TSC22D1
ELK1	1	Mixscale_CRISPRi	-0.0048202998164576	0.0	0.0	null_or_wrong_direction		not_nominated	6	ELK1
ID3	1	Mixscale_CRISPRi	-0.0052911286074983	0.0	0.0	null_or_wrong_direction		not_nominated	6	ID3
FBXO6	1	Mixscale_CRISPRi	-0.0055549147284474	0.0	0.0	null_or_wrong_direction		not_nominated	6	FBXO6
MAP3K7	1	Mixscale_CRISPRi	-0.0056941980235292	0.2001608278741221	-0.0029232768411466	null_or_wrong_direction		not_nominated	6	MAP3K7
IRF7	2	Mixscale_CRISPRi	-0.0057997430859567	0.0236417539263354	0.0	null_or_wrong_direction		not_nominated	6	IRF7
STAT3	2	Mixscale_CRISPRi	-0.006237879831838	0.0	0.0	null_or_wrong_direction		not_nominated	6	STAT3
PTGES3	1	Mixscale_CRISPRi	-0.0068671860593831	0.0	0.0	null_or_wrong_direction		not_nominated	6	PTGES3
ETV7	1	Mixscale_CRISPRi	-0.0071109583131254	0.0	0.0	null_or_wrong_direction		not_nominated	6	ETV7
MAPK8	2	Mixscale_CRISPRi	-0.0076388067293417	0.0	0.0	null_or_wrong_direction		not_nominated	6	MAPK8
ZNFX1	2	Mixscale_CRISPRi	-0.0077812935632473	0.0	0.0	null_or_wrong_direction		not_nominated	6	ZNFX1
CASP3	1	Mixscale_CRISPRi	-0.0079887412386805	0.0	0.0	null_or_wrong_direction		not_nominated	6	CASP3
CRKL	1	Mixscale_CRISPRi	-0.0084402449256228	0.0	0.0	null_or_wrong_direction		not_nominated	6	CRKL
IKBKE	1	Mixscale_CRISPRi	-0.009157281735846	0.0	-0.0075652445667897	null_or_wrong_direction		not_nominated	6	IKBKE
TRAF1	1	Mixscale_CRISPRi	-0.0092245344593101	0.0157673800295721	0.0157673800295721	null_or_wrong_direction		not_nominated	6	TRAF1
MAP2K3	1	Mixscale_CRISPRi	-0.0102807929058019	0.0	-0.0030103046262191	null_or_wrong_direction		not_nominated	6	MAP2K3
SP100	2	Mixscale_CRISPRi	-0.0108910007860069	0.0	0.0	null_or_wrong_direction		not_nominated	6	SP100
IFI16	2	Mixscale_CRISPRi	-0.0110577895715066	0.0	0.0	null_or_wrong_direction		not_nominated	6	IFI16
MTOR	1	Mixscale_CRISPRi	-0.011165392481969	0.0	0.0	null_or_wrong_direction		not_nominated	6	MTOR
TRIM22	1	Mixscale_CRISPRi	-0.011492191273493	0.0	0.0	null_or_wrong_direction		not_nominated	6	TRIM22
RNF14	1	Mixscale_CRISPRi	-0.0123813657826839	0.0	0.0	null_or_wrong_direction		not_nominated	6	RNF14
NFKBIE	1	Mixscale_CRISPRi	-0.0125363290965485	0.0	0.0	null_or_wrong_direction		not_nominated	6	NFKBIE
TRAF2	1	Mixscale_CRISPRi	-0.0130149418103353	0.0	-0.0048493625380565	null_or_wrong_direction		not_nominated	6	TRAF2
MAP3K14	2	Mixscale_CRISPRi	-0.0142015201876741	0.0994831222909603	0.0	null_or_wrong_direction		not_nominated	6	MAP3K14
ETS2	1	Mixscale_CRISPRi	-0.0144257685862167	0.0	0.0	null_or_wrong_direction		not_nominated	6	ETS2
TNFRSF1B	1	Mixscale_CRISPRi	-0.0158918919161392	0.0	0.0	null_or_wrong_direction		not_nominated	6	TNFRSF1B
DNM1L	1	Mixscale_CRISPRi	-0.01810613991651	0.0	0.0	null_or_wrong_direction		not_nominated	6	DNM1L
HERC6	1	Mixscale_CRISPRi	-0.0185235899074101	0.0	0.0	null_or_wrong_direction		not_nominated	6	HERC6
CREB1	1	Mixscale_CRISPRi	-0.0187626274609945	0.0	-0.0130107765708693	null_or_wrong_direction		not_nominated	6	CREB1
SRC	1	Mixscale_CRISPRi	-0.0190552421200393	0.0	0.0	null_or_wrong_direction		not_nominated	6	SRC
BRD9	1	Mixscale_CRISPRi	-0.0193631658143753	0.0	0.0	null_or_wrong_direction		not_nominated	6	BRD9
NFKB1	3	Mixscale_CRISPRi	-0.0207445484518429	0.0185665131714457	0.0185665131714457	null_or_wrong_direction		not_nominated	6	NFKB1
IRF9	2	Mixscale_CRISPRi	-0.0213314510985316	0.0067186329070646	-0.0064350356779008	null_or_wrong_direction		not_nominated	6	IRF9
MTF1	1	Mixscale_CRISPRi	-0.0216962458031154	0.0128036845623382	-0.0073002193913904	null_or_wrong_direction		not_nominated	6	MTF1
RELB	1	Mixscale_CRISPRi	-0.0220752203992436	0.0317980180385042	-0.0036928522355718	null_or_wrong_direction		not_nominated	6	RELB
KLF4	1	Mixscale_CRISPRi	-0.0238003516853358	0.0	0.0	null_or_wrong_direction		not_nominated	6	KLF4
GUK1	1	Mixscale_CRISPRi	-0.025108537999573	0.0	0.0	null_or_wrong_direction		not_nominated	6	GUK1
SP110	2	Mixscale_CRISPRi	-0.0255415864604528	0.0	0.0	null_or_wrong_direction		not_nominated	6	SP110
BATF2	2	Mixscale_CRISPRi	-0.0265913761840295	0.0	0.0	null_or_wrong_direction		not_nominated	6	BATF2
TBX21	1	Mixscale_CRISPRi	-0.0267628204941599	0.0099135523684361	-0.0233864604928249	null_or_wrong_direction		not_nominated	6	TBX21
FOXN3	1	Mixscale_CRISPRi	-0.0290688812953411	0.0	0.0	null_or_wrong_direction		not_nominated	6	FOXN3
CASP7	1	Mixscale_CRISPRi	-0.0292945079781478	0.0	-0.0124732062933116	null_or_wrong_direction		not_nominated	6	CASP7
EHF	1	Mixscale_CRISPRi	-0.0295418918640439	0.0	0.0	null_or_wrong_direction		not_nominated	6	EHF
ZC3H3	1	Mixscale_CRISPRi	-0.0299868317849265	0.0	0.0	null_or_wrong_direction		not_nominated	6	ZC3H3
CSF2	1	Mixscale_CRISPRi	-0.0300935051009289	0.0	-0.015563546942201	null_or_wrong_direction		not_nominated	6	CSF2
ZBP1	1	Mixscale_CRISPRi	-0.0307357226705824	0.0	0.0	null_or_wrong_direction		not_nominated	6	ZBP1
ETS1	1	Mixscale_CRISPRi	-0.0322420704707813	0.0	0.0	null_or_wrong_direction		not_nominated	6	ETS1
IRF3	1	Mixscale_CRISPRi	-0.0324823044281631	0.0	0.0	null_or_wrong_direction		not_nominated	6	IRF3
ZNF22	1	Mixscale_CRISPRi	-0.033140161806823	0.0	0.0	null_or_wrong_direction		not_nominated	6	ZNF22
HERC5	1	Mixscale_CRISPRi	-0.0336998404732885	0.0	0.0	null_or_wrong_direction		not_nominated	6	HERC5
ITCH	1	Mixscale_CRISPRi	-0.0338443834878404	0.0	-0.0290806791405934	null_or_wrong_direction		not_nominated	6	ITCH
USP18	1	Mixscale_CRISPRi	-0.0342322557441129	0.0	0.0	null_or_wrong_direction		not_nominated	6	USP18
ZFP36L1	1	Mixscale_CRISPRi	-0.0347031256553365	0.0	0.0	null_or_wrong_direction		not_nominated	6	ZFP36L1
NFAT5	1	Mixscale_CRISPRi	-0.0354100056751497	0.0	-0.0262910259900399	null_or_wrong_direction		not_nominated	6	NFAT5
MAPK14	2	Mixscale_CRISPRi	-0.0355935028077412	0.0	0.0	null_or_wrong_direction		not_nominated	6	MAPK14
SMARCA5	1	Mixscale_CRISPRi	-0.0360917533818703	0.0	0.0	null_or_wrong_direction		not_nominated	6	SMARCA5
RAP1GAP	1	Mixscale_CRISPRi	-0.0364574155696352	0.0	0.0	null_or_wrong_direction		not_nominated	6	RAP1GAP
AKT1	1	Mixscale_CRISPRi	-0.0379781565615717	0.0	0.0	null_or_wrong_direction		not_nominated	6	AKT1
ID2	2	Mixscale_CRISPRi	-0.0398468555477795	0.0174573086764553	0.0	null_or_wrong_direction		not_nominated	6	ID2
DTX3L	1	Mixscale_CRISPRi	-0.0414492255086158	0.0	0.0	null_or_wrong_direction		not_nominated	6	DTX3L
H1F0	1	Mixscale_CRISPRi	-0.0415782224993143	0.0	0.0	null_or_wrong_direction		not_nominated	6	H1F0
JUNB	1	Mixscale_CRISPRi	-0.0417090304841513	0.0	0.0	null_or_wrong_direction		not_nominated	6	JUNB
STAT5A	1	Mixscale_CRISPRi	-0.0441366865703297	0.0	0.0	null_or_wrong_direction		not_nominated	6	STAT5A
CEBPG	1	Mixscale_CRISPRi	-0.0444880605722926	0.0	0.0	null_or_wrong_direction		not_nominated	6	CEBPG
BATF	1	Mixscale_CRISPRi	-0.0448220357310207	0.0	-0.0432642873331035	null_or_wrong_direction		not_nominated	6	BATF
PTGS2	1	Mixscale_CRISPRi	-0.0456549629145633	0.0	0.0	null_or_wrong_direction		not_nominated	6	PTGS2
RAPGEF1	1	Mixscale_CRISPRi	-0.0465468305420483	0.0	0.0	null_or_wrong_direction		not_nominated	6	RAPGEF1
MAFF	1	Mixscale_CRISPRi	-0.0474851789379336	0.0	-0.0127475598776013	null_or_wrong_direction		not_nominated	6	MAFF
MEF2A	1	Mixscale_CRISPRi	-0.0479205763263496	0.0	0.0	null_or_wrong_direction		not_nominated	6	MEF2A
STAT2	2	Mixscale_CRISPRi	-0.0480422353438398	0.7054128313832698	-0.0440300834188696	broad_ifn_jak_like_collapse;null_or_wrong_direction		not_nominated	6	STAT2
STAT4	1	Mixscale_CRISPRi	-0.0502650068931169	0.0	0.0	null_or_wrong_direction		not_nominated	6	STAT4
HES4	1	Mixscale_CRISPRi	-0.0543510413543221	0.0	0.0	null_or_wrong_direction		not_nominated	6	HES4
VAV1	1	Mixscale_CRISPRi	-0.0547802292573229	0.0	0.0	null_or_wrong_direction		not_nominated	6	VAV1
TRAFD1	2	Mixscale_CRISPRi	-0.0557751862704644	0.0	0.0	null_or_wrong_direction		not_nominated	6	TRAFD1
RNF114	1	Mixscale_CRISPRi	-0.0561619748984837	0.0	0.0	null_or_wrong_direction		not_nominated	6	RNF114
UBE2L6	1	Mixscale_CRISPRi	-0.0572028883712258	0.0	0.0	null_or_wrong_direction		not_nominated	6	UBE2L6
KLF6	1	Mixscale_CRISPRi	-0.0577695044400971	0.0	-0.0386786267593802	null_or_wrong_direction		not_nominated	6	KLF6
NFE2L3	1	Mixscale_CRISPRi	-0.0591392298773281	0.0	0.0	null_or_wrong_direction		not_nominated	6	NFE2L3
CLK1	1	Mixscale_CRISPRi	-0.059329752251426	0.0023129917132058	0.0023129917132058	null_or_wrong_direction		not_nominated	6	CLK1
UBA7	1	Mixscale_CRISPRi	-0.0641718731281527	0.0	0.0	null_or_wrong_direction		not_nominated	6	UBA7
SOCS1	1	Mixscale_CRISPRi	-0.0660591651929318	0.0	0.0	null_or_wrong_direction		not_nominated	6	SOCS1
HLX	1	Mixscale_CRISPRi	-0.0670338069658336	0.0	0.0	null_or_wrong_direction		not_nominated	6	HLX
TRIM21	1	Mixscale_CRISPRi	-0.0684447168374849	0.0	-0.0581965949357964	null_or_wrong_direction		not_nominated	6	TRIM21
STAT6	1	Mixscale_CRISPRi	-0.0710254691302791	0.0	0.0	null_or_wrong_direction		not_nominated	6	STAT6
PPARG	1	Mixscale_CRISPRi	-0.0718142396098501	0.0	-0.0538090722099651	null_or_wrong_direction		not_nominated	6	PPARG
SOX4	1	Mixscale_CRISPRi	-0.0731591007575336	0.0	-0.0723768352270231	null_or_wrong_direction		not_nominated	6	SOX4
DRAP1	1	Mixscale_CRISPRi	-0.0759712756249784	0.0	0.0	null_or_wrong_direction		not_nominated	6	DRAP1
ID1	1	Mixscale_CRISPRi	-0.0831882575327873	0.0	-0.081332195159608	null_or_wrong_direction		not_nominated	6	ID1
REPIN1	1	Mixscale_CRISPRi	-0.0887783920302191	0.0	-0.0599619806812494	null_or_wrong_direction		not_nominated	6	REPIN1
IRF1	3	Mixscale_CRISPRi	-0.0993979008136388	0.1460806309088673	-0.0545469554549085	null_or_wrong_direction		not_nominated	6	IRF1
BIRC3	1	Mixscale_CRISPRi	-0.1039163547543835	0.0	-0.0999312268202109	null_or_wrong_direction		not_nominated	6	BIRC3
SOX2	1	Mixscale_CRISPRi	-0.1097974073604739	0.0	0.0	null_or_wrong_direction		not_nominated	6	SOX2
CUL1	1	Mixscale_CRISPRi	-0.1116719932867584	0.0	0.0	null_or_wrong_direction		not_nominated	6	CUL1
KIN	1	Mixscale_CRISPRi	-0.1728664566193899	0.0	0.0	null_or_wrong_direction		not_nominated	6	KIN
IKBKB	1	Mixscale_CRISPRi	-0.2243907664006502	0.170374459432409	-0.1677451989835907	null_or_wrong_direction		not_nominated	6	IKBKB
Gsk3b	1	mouse_macrophage_CRISPR_screen					39.0	not_nominated_no_direct_transcript_effect	7	GSK3B
Med16	1	mouse_macrophage_CRISPR_screen					42.0	not_nominated_no_direct_transcript_effect	7	MED16
Ifngr1	1	mouse_macrophage_CRISPR_screen					8.0	not_nominated_no_direct_transcript_effect	7	IFNGR1
Ifngr2	1	mouse_macrophage_CRISPR_screen					1.0	not_nominated_no_direct_transcript_effect	7	IFNGR2
Jak1	1	mouse_macrophage_CRISPR_screen					37.0	not_nominated_no_direct_transcript_effect	7	JAK1
Jak2	1	mouse_macrophage_CRISPR_screen					583.0	not_nominated_no_direct_transcript_effect	7	JAK2
Stat1	1	mouse_macrophage_CRISPR_screen					44.0	not_nominated_no_direct_transcript_effect	7	STAT1
Ciita	1	mouse_macrophage_CRISPR_screen					53.0	not_nominated_no_direct_transcript_effect	7	CIITA
Rfx5	1	mouse_macrophage_CRISPR_screen					153.0	not_nominated_no_direct_transcript_effect	7	RFX5
