gene	wave19_call	wave19_reason	axis	aliases	desired_direction	modality	delivery	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_count_union	local_state_coupled_union	broad_positive_disease_count	broad_positive_diseases	broad_negative_disease_count	broad_negative_diseases	residual_gate_retained_positive_disease_count	residual_gate_retained_diseases	orchestrator_resid_state_support_diseases	ms_wm_delta_log2	ms_wm_p	gse162463_mhcii_median_low_vs_high_log2	gse162463_mhcii_rank_required_low_vs_high	geneformer_total_support_contexts	geneformer_total_strong_support_contexts	europepmc_hit_count	pubmed_hit_count	preprint_hit_count	clinicaltrials_hit_count	chembl_target_chembl_id	chembl_pref_name	chembl_nM_activity_count	europepmc_url	pubmed_url	preprint_url	clinicaltrials_url	chembl_activity_url
SIRPA	PARK_LOW	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); known checkpoint/tolerance axis with non-novel autoimmune direction	CD47-SIRPA phagocytosis checkpoint receptor	SIRP-alpha;SIRPα	enhance inhibitory SIRPA signaling if repair-preserving; avoid oncology-style blockade	SIRPA/CD47 biologic modulation	systemic biologic; macrophage phagocytosis liabilities	2	Crohn disease;psoriasis	0		2	Crohn disease;psoriasis	0		0		0	0.1677681996050939	0.2355404004395136	0.7221273347942825	2709.0	0	0	872	48	11	0				https://europepmc.org/search?query=%28SIRPA+OR+%22SIRP+alpha%22+OR+%22SIRP-alpha%22%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28SIRPA+OR+%22SIRP+alpha%22+OR+%22SIRP-alpha%22%29+autoimmune	https://europepmc.org/search?query=%28%28SIRPA+OR+%22SIRP+alpha%22+OR+%22SIRP-alpha%22%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=SIRPA+autoimmune	
NECTIN2	NO_GO	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (1 broad negative diseases); checkpoint biology is not myeloid/APC-state selective	NECTIN2/CD112 TIGIT-family ligand	CD112;PVRL2	bias TIGIT-family signaling toward inhibition	ligand engineering/antibody concept	systemic; receptor competition unresolved	2	Crohn disease;ulcerative colitis	0		2	Crohn disease;ulcerative colitis	1	psoriasis	0		0			-0.7765438915882972	10137.0	0	0	546	9	1	0				https://europepmc.org/search?query=%28NECTIN2+OR+CD112+OR+PVRL2%29+TIGIT+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28NECTIN2+OR+CD112+OR+PVRL2%29+TIGIT+autoimmune	https://europepmc.org/search?query=%28%28NECTIN2+OR+CD112+OR+PVRL2%29+TIGIT+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=NECTIN2+autoimmune	
PILRA	NO_GO	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (1 broad negative diseases)	PILRA inhibitory paired Ig-like receptor	PILR-alpha	agonize inhibitory receptor if disease-state coupled	antibody/ligand-mimetic concept	systemic biologic; tissue delivery undeveloped	2	Crohn disease;ulcerative colitis	0		2	Crohn disease;ulcerative colitis	1	psoriasis	0		0	0.3377966078846164	0.029250759403389	-0.9946631531172274	10637.0	0	0	198	1	6	0				https://europepmc.org/search?query=%28PILRA+OR+%22PILR+alpha%22+OR+%22PILR-alpha%22%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28PILRA+OR+%22PILR+alpha%22+OR+%22PILR-alpha%22%29+autoimmune	https://europepmc.org/search?query=%28%28PILRA+OR+%22PILR+alpha%22+OR+%22PILR-alpha%22%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=PILRA+autoimmune	
VSIR	NO_GO	local recurrence below gate (2<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (1 broad negative diseases); tractable but saturated ChEMBL small-molecule/assay footprint (159 nM records)	VISTA/VSIR myeloid checkpoint	VISTA;B7-H5;PD-1H	agonize or enhance inhibitory VISTA signaling	agonist antibody/fusion protein concept; oncology programs mostly antagonize	systemic biologic; tissue-selective delivery not established	2	Sjogren syndrome;type 1 diabetes mellitus	0		2	Sjogren syndrome;type 1 diabetes mellitus	1	Crohn disease	0		0			-0.6283974317811112	9671.0	0	0	641	55	7	0	CHEMBL4523457	V-type immunoglobulin domain-containing suppressor of T-cell activation	159	https://europepmc.org/search?query=%28VSIR+OR+%22VISTA+checkpoint%22+OR+%22V-domain+Ig+suppressor%22%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28VSIR+OR+%22VISTA+checkpoint%22+OR+%22V-domain+Ig+suppressor%22%29+autoimmune	https://europepmc.org/search?query=%28%28VSIR+OR+%22VISTA+checkpoint%22+OR+%22V-domain+Ig+suppressor%22%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=VSIR+VISTA+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4523457
FCGR2B	NO_GO	local recurrence below gate (1<3 diseases/tissues); state coupling below gate (1<3); directional local negatives present (1 broad negative diseases); crowded prior art snapshot (EuropePMC=1873, CT.gov=1)	Fc-gamma RIIB inhibitory Fc receptor	CD32B;FcgRIIB	agonize inhibitory Fc receptor in immune-complex settings	Fc-engineered immune complexes/agonist antibody concept	systemic; disease-specific immune-complex context needed	1	Sjogren syndrome	1	type 1 diabetes mellitus	0		1	ulcerative colitis	0		1	0.3743680552898727	0.5995853752716118	-1.3756868130373363	11216.0	0	0	1873	207	19	1	CHEMBL4662940	Low affinity immunoglobulin gamma Fc region receptor II-b	0	https://europepmc.org/search?query=%28FCGR2B+OR+CD32B+OR+FcgRIIB%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28FCGR2B+OR+CD32B+OR+FcgRIIB%29+autoimmune	https://europepmc.org/search?query=%28%28FCGR2B+OR+CD32B+OR+FcgRIIB%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=FCGR2B+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4662940
SIGLEC10	NO_GO	local recurrence below gate (1<3 diseases/tissues); state coupling below gate (1<3); directional local negatives present (1 broad negative diseases)	CD24-SIGLEC10 DAMP/glycan checkpoint	Siglec-10	agonize Siglec-10 via CD24/CD24Fc-like checkpoint engagement	CD24Fc/fusion protein or Siglec agonist glycomimetic	systemic biologic; gut or CNS delivery not solved	1	psoriasis	1	type 1 diabetes mellitus	0		1	type 1 diabetes mellitus	0		1	-0.6228823890231006	0.0790960238639784			0	0	605	23	10	1	CHEMBL4303061	Sialic acid-binding Ig-like lectin 10	0	https://europepmc.org/search?query=%28SIGLEC10+OR+%22Siglec-10%22+OR+CD24Fc%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28SIGLEC10+OR+%22Siglec-10%22+OR+CD24Fc%29+autoimmune	https://europepmc.org/search?query=%28%28SIGLEC10+OR+%22Siglec-10%22+OR+CD24Fc%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=CD24Fc+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4303061
CD300LF	NO_GO	local recurrence below gate (1<3 diseases/tissues); state coupling below gate (0<3)	CD300LF/CD300F phospholipid inhibitory receptor	CD300F;IREM1	agonize inhibitory CD300F/CD300LF signaling	antibody modulation concept	systemic biologic; no disease-tissue selectivity	1	psoriasis	0		1	psoriasis	0		1	psoriasis	0	-0.0991212524448474	0.7089814372180329	0.6306443856723214	3122.0	2	2	223	7	5	0				https://europepmc.org/search?query=%28CD300LF+OR+CD300F+OR+IREM1%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD300LF+OR+CD300F+OR+IREM1%29+autoimmune	https://europepmc.org/search?query=%28%28CD300LF+OR+CD300F+OR+IREM1%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=CD300F+autoimmune	
LILRB4	NO_GO	local recurrence below gate (1<3 diseases/tissues); state coupling below gate (0<3)	LILRB4/ILT3 inhibitory myeloid receptor	ILT3;CD85K	agonize inhibitory receptor on tolerogenic myeloid/APC cells	agonist antibody or ligand-mimetic concept; oncology programs mostly block/deplete	systemic biologic; myeloid selectivity possible but tissue delivery undeveloped	1	type 1 diabetes mellitus	0		1	type 1 diabetes mellitus	0		0		0	-0.0567093265778488	0.8864378306397437			0	0	780	43	13	0				https://europepmc.org/search?query=%28LILRB4+OR+ILT3+OR+CD85K%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB4+OR+ILT3+OR+CD85K%29+autoimmune	https://europepmc.org/search?query=%28%28LILRB4+OR+ILT3+OR+CD85K%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=LILRB4+ILT3+autoimmune	
PDCD1LG2	NO_GO	local recurrence below gate (1<3 diseases/tissues); state coupling below gate (0<3); crowded prior art snapshot (EuropePMC=10557, CT.gov=5)	PD-L2/PD-1 tolerance checkpoint	PD-L2;B7-DC	agonize PD-1 pathway via PD-L2-like signal	fusion protein/agonist biologic concept	systemic biologic; tissue selectivity unresolved	1	psoriasis	0		0		0		0		0	-1.831668177750024	0.1368572957532143	0.4143687680763445	4134.0	0	0	10557	169	16	5	CHEMBL3713006	Programmed cell death 1 ligand 2	2	https://europepmc.org/search?query=%28PDCD1LG2+OR+%22PD-L2%22+OR+B7-DC%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28PDCD1LG2+OR+%22PD-L2%22+OR+B7-DC%29+autoimmune	https://europepmc.org/search?query=%28%28PDCD1LG2+OR+%22PD-L2%22+OR+B7-DC%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=PD-L2+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3713006
SIGLEC7	NO_GO	local recurrence below gate (1<3 diseases/tissues); state coupling below gate (0<3)	Siglec inhibitory glycan receptor	Siglec-7;CD328	agonize inhibitory glycan receptor if state-coupled	glycomimetic/antibody concept	systemic; NK/myeloid pleiotropy	1	ulcerative colitis	0		1	ulcerative colitis	0		0		0	0.2373614702579454	0.6584560053362315			0	0	399	8	3	0	CHEMBL3603730	Sialic acid-binding Ig-like lectin 7	19	https://europepmc.org/search?query=%28SIGLEC7+OR+%22Siglec-7%22+OR+CD328%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28SIGLEC7+OR+%22Siglec-7%22+OR+CD328%29+autoimmune	https://europepmc.org/search?query=%28%28SIGLEC7+OR+%22Siglec-7%22+OR+CD328%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=Siglec-7+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3603730
LAIR1	NO_GO	local recurrence below gate (1<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (2 broad negative diseases)	LAIR1 collagen/complement inhibitory receptor	CD305	agonize LAIR1 inhibitory signaling or restore receptor function	agonist antibody/fusion protein concept	systemic biologic; collagen-rich tissues raise off-tissue complexity	1	type 1 diabetes mellitus	0		1	type 1 diabetes mellitus	2	Crohn disease;ulcerative colitis	0		0	-0.2811215724373159	0.1069140784882185	1.3190184126308964	997.0	0	0	402	35	6	0				https://europepmc.org/search?query=%28LAIR1+OR+CD305%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28LAIR1+OR+CD305%29+autoimmune	https://europepmc.org/search?query=%28%28LAIR1+OR+CD305%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=LAIR1+autoimmune	
CD300A	NO_GO	local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3)	CD300A phospholipid inhibitory receptor	CMRF35H;IRC1	agonize inhibitory CD300A signaling if state-coupled	antibody modulation concept	systemic biologic; no disease-tissue selectivity	0		0		0		0		0		0	-0.3453443248914674	0.0766109345414007	-1.0570830884604125	10763.0	0	0	324	6	5	0				https://europepmc.org/search?query=%28CD300A+OR+CMRF35H%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28CD300A+OR+CMRF35H%29+autoimmune	https://europepmc.org/search?query=%28%28CD300A+OR+CMRF35H%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=CD300A+autoimmune	
SIGLEC5	NO_GO	local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3)	Siglec inhibitory glycan receptor	Siglec-5;CD170	agonize inhibitory glycan receptor if state-coupled	glycomimetic/antibody concept	systemic biologic/glycan ligand; specificity difficult	0		0		0		0		0		0	0.0302932274521188	0.9494964795792372			0	0	401	7	7	0				https://europepmc.org/search?query=%28SIGLEC5+OR+%22Siglec-5%22+OR+CD170%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28SIGLEC5+OR+%22Siglec-5%22+OR+CD170%29+autoimmune	https://europepmc.org/search?query=%28%28SIGLEC5+OR+%22Siglec-5%22+OR+CD170%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=Siglec-5+autoimmune	
SIGLEC9	NO_GO	local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); tractable but saturated ChEMBL small-molecule/assay footprint (410 nM records)	Siglec inhibitory glycan receptor	Siglec-9;CD329	agonize inhibitory glycan receptor if state-coupled	glycomimetic/antibody concept	systemic; neutrophil/myeloid pleiotropy	0		0		0		0		0		0	-0.3667847184824708	0.3041560944096209			0	0	460	17	4	2	CHEMBL4105860	Sialic acid-binding Ig-like lectin 9	410	https://europepmc.org/search?query=%28SIGLEC9+OR+%22Siglec-9%22+OR+CD329%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28SIGLEC9+OR+%22Siglec-9%22+OR+CD329%29+autoimmune	https://europepmc.org/search?query=%28%28SIGLEC9+OR+%22Siglec-9%22+OR+CD329%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=Siglec-9+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4105860
TIGIT	NO_GO	local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); checkpoint biology is not myeloid/APC-state selective; crowded prior art snapshot (EuropePMC=5332, CT.gov=5)	TIGIT/PVR checkpoint	TIGIT	agonize TIGIT inhibitory signaling; T-cell/Treg weighted	agonist antibody concept; oncology programs mostly antagonize	systemic biologic; not myeloid/APC-state selective	0		0		0		0		0		0					0	0	5332	178	51	5	CHEMBL4630878	T-cell immunoreceptor with Ig and ITIM domains	0	https://europepmc.org/search?query=%28TIGIT%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28TIGIT%29+autoimmune	https://europepmc.org/search?query=%28%28TIGIT%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=TIGIT+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4630878
HAVCR2	NO_GO	local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (1 broad negative diseases); crowded prior art snapshot (EuropePMC=9050, CT.gov=5); known checkpoint/tolerance axis with non-novel autoimmune direction	TIM-3/HAVCR2 checkpoint	TIM-3;TIM3	agonize tolerogenic TIM-3 signaling, not oncology-style blockade	agonist biologic concept; Gal-9/TIM-3 axis is crowded	systemic biologic; cell-selective direction difficult	0		0		0		1	ulcerative colitis	0		0	0.1190427137902556	0.4421644824402852	0.43830250071209886	4007.0	0	0	9050	315	70	5	CHEMBL4630879	Hepatitis A virus cellular receptor 2	81	https://europepmc.org/search?query=%28HAVCR2+OR+%22TIM-3%22+OR+TIM3%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28HAVCR2+OR+%22TIM-3%22+OR+TIM3%29+autoimmune	https://europepmc.org/search?query=%28%28HAVCR2+OR+%22TIM-3%22+OR+TIM3%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=TIM-3+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL4630879
LILRB5	NO_GO	local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (1 broad negative diseases)	LILRB5 inhibitory receptor	LIR8;CD85C	agonize inhibitory receptor if disease-state coupling exists	antibody modulation concept	systemic biologic; little tissue-targeted precedent	0		0		0		1	ulcerative colitis	0		0	-0.8824584607192891	0.51569138646586			0	0	98	1	2	0				https://europepmc.org/search?query=%28LILRB5+OR+LIR8+OR+CD85C%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28LILRB5+OR+LIR8+OR+CD85C%29+autoimmune	https://europepmc.org/search?query=%28%28LILRB5+OR+LIR8+OR+CD85C%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=LILRB5+autoimmune	
VSIG4	NO_GO	local recurrence below gate (0<3 diseases/tissues); state coupling below gate (0<3); directional local negatives present (2 broad negative diseases)	VSIG4/CRIg macrophage inhibitory/complement receptor	CRIg;Z39IG	agonize/restore macrophage inhibitory or complement-clearance function	fusion protein/antibody concept	macrophage-rich tissue delivery unresolved	0		0		0		2	Crohn disease;ulcerative colitis	0		0	-1.0515671441266328	0.0020407308358746			0	0	700	24	7	0				https://europepmc.org/search?query=%28VSIG4+OR+CRIg%29+autoimmune	https://pubmed.ncbi.nlm.nih.gov/?term=%28VSIG4+OR+CRIg%29+autoimmune	https://europepmc.org/search?query=%28%28VSIG4+OR+CRIg%29+autoimmune%29+AND+SRC%3APPR	https://clinicaltrials.gov/search?term=VSIG4+autoimmune	
