gene	target_id	approved_name	wave55_score	closed_axis	n_diseases_genetic_ge_0_25	diseases_genetic_ge_0_25	n_diseases_genetic_ge_0_5	diseases_genetic_ge_0_5	n_diseases_overall_ge_0_3	ms_genetic_association	ms_overall_score	max_overall_score	max_clinical_score	max_literature_score	local_positive_disease_count	local_negative_disease_count	local_positive_diseases	ms_wm_delta_log2	ms_wm_p	ms_wm_fdr	strict_residual_disease_count	in_lipid_lysosomal_myeloid_neighborhood	best_direct_selectivity_score	best_direct_target_suppression	direct_evidence_calls	foundation_recommendation	call	critical_gate_pass_count	critical_gate_total	chembl_activity_rows	chembl_best_nM	europepmc_hit_count	primary_blocker
IL12B	ENSG00000113302	interleukin 12B	22.5	False	11	AITD;AS;Celiac;Crohn;MS;PBC;Psoriasis;RA;SLE;T1D;UC	7	Crohn;MS;PBC;Psoriasis;RA;SLE;UC	8	0.6698761173306804	0.4317686511788899	0.7934509118297774	0.9947824938941359	0.68368012743092	0	0		0.2347246460272134	0.8363232772483672	0.9761732664217524	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		504	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
ANKRD55	ENSG00000164512	ankyrin repeat domain 55	22.0	False	10	AITD;AS;Celiac;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;MS;Psoriasis;RA;SLE;T1D	7	0.710779114428204	0.43690126528949996	0.49629901064264814	0.0	0.22347740462115429	0	0		-0.248205733458104	0.8213839388878235	0.9761732664217524	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		48	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
BANK1	ENSG00000153064	B cell scaffold protein with ankyrin repeats 1	22.0	False	6	AS;Crohn;Psoriasis;RA;SLE;UC	6	AS;Crohn;Psoriasis;RA;SLE;UC	6	0.0	0.0	0.5697415815634396	0.0	0.7954020374096181	2	0	Crohn disease;ulcerative colitis	-1.3276943484174517	0.2391155920390936	0.9004758652001262	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	2	8	0		135	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
CCL20	ENSG00000115009	C-C motif chemokine ligand 20	22.0	False	5	AS;Crohn;Psoriasis;RA;UC	5	AS;Crohn;Psoriasis;RA;UC	5	0.0	0.0	0.4687556879905861	0.0	0.7950547360286191	4	0	Crohn disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1.1469018183892334	0.0611072952242856	0.8989378106274888	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	2	8	0		1550	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
CDKAL1	ENSG00000145996	CDKAL1 threonylcarbamoyladenosine tRNA methylthiotransferase	22.0	False	6	AS;Crohn;Psoriasis;RA;T1D;UC	4	Crohn;Psoriasis;T1D;UC	4	0.0	0.0	0.48163616008008575	0.0	0.1307596127494817	2	0	Crohn disease;type 1 diabetes mellitus	-0.6895238072804037	0.4020741645624514	0.9157809859344704	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	2	8	0		58	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
ELMO1	ENSG00000155849	engulfment and cell motility 1	22.0	False	7	AITD;Celiac;Crohn;MS;PBC;Psoriasis;RA	6	Celiac;Crohn;MS;PBC;Psoriasis;RA	7	0.5108727446557169	0.3475048137899376	0.4887446129048804	0.0	0.6875666661084168	0	0		-0.2660429536334607	0.115590147912949	0.8989378106274888	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	1	10000.0	112	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
IRF4	ENSG00000137265	interferon regulatory factor 4	22.0	False	7	AITD;Celiac;Crohn;Psoriasis;RA;SLE;T1D	4	AITD;Celiac;RA;T1D	6	0.0	0.33527853182715517	0.4971338932332336	0.0	0.8518865684738582	2	0	Sjogren syndrome;ulcerative colitis	0.0444471151552097	0.910671703211036	0.9869419643747628	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	1	8	51	1280.0	1160	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
JAZF1	ENSG00000153814	JAZF zinc finger 1	22.0	False	8	AS;Crohn;MS;Psoriasis;RA;SLE;T1D;UC	7	AS;Crohn;Psoriasis;RA;SLE;T1D;UC	8	0.4558970423902871	0.43886831783697833	0.47067915361229856	0.0	0.3084369641719846	0	0		-0.5307690698614227	0.0395106029515515	0.85672364651018	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	3	8	0		76	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
TNFSF15	ENSG00000181634	TNF superfamily member 15	22.0	False	10	AITD;AS;Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	10	AITD;AS;Celiac;Crohn;PBC;Psoriasis;RA;SLE;T1D;UC	10	0.0	0.0	0.5392401806246548	0.0	0.4793535029518927	2	0	psoriasis;ulcerative colitis	0.3944092138441286	0.7556576392930524	0.9708581480143637	0	False					NO_GO_EXTERNAL_GENETICS_SWEEP	2	8	0		140	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
IL12A	ENSG00000168811	interleukin 12A	21.5	False	5	Celiac;MS;PBC;SLE;Sjogren	4	Celiac;MS;PBC;SLE	10	0.7515116724599907	0.4809817956157057	0.604209818930536	0.9864871266463598	0.43584038629622346	1	0	type 1 diabetes mellitus	-0.9142671409053884	0.4432527767673943	0.9214560346888634	0	False					REOPEN_COLOC_OR_PERTURBATION_PRIORITY_ONLY	4	8	0		337	No candidate can satisfy the V3 genetics gate because live Open Targets associated-target evidence does not replace coloc/MR, and local MS/cell-state or perturbation support is usually absent.
