gene	strict_call	fresh_score	support_channels	hard_closed_postcritique	strict_blocked	ms_nominal	ms_fdr_grade	broad_cell_state	genetics	response	perturbation_or_model	modality	broad_positive_disease_count	wave55_genetic_disease_count	blockers_or_missing	source_call	blocker_text
LTA4H	NO_GO_RESIDUAL	4.1	2	True	False	True	False	True	False	False	False	False	3	0	hard_closed_postcritique;no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
NCK1	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
NFIA	NO_GO_RESIDUAL	4.1	2	False	False	False	False	True	True	False	False	False	3	4	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PFKFB3	NO_GO_RESIDUAL	4.1	2	False	False	False	False	True	True	False	False	False	3	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PLEK2	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PPIL3	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	1	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PPP3CA	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PTPRC	NO_GO_RESIDUAL	4.1	2	False	False	False	False	True	True	False	False	False	3	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
SNX10	NO_GO_RESIDUAL	4.1	2	False	False	True	False	True	False	False	False	False	3	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
TNFAIP3	NO_GO_RESIDUAL	4.1	2	False	False	False	False	True	True	False	False	False	3	9	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ADCY3	NO_GO_RESIDUAL	4.0	2	False	False	True	False	False	True	False	False	False	0	5	no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IL6R	NO_GO_RESIDUAL	4.0	2	False	False	True	False	False	True	False	False	False	0	5	no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ABHD2	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ACAP1	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
BTF3	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CCNI	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CDV3	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
DIAPH1	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ERI1	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
FADS2	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
FAP	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	4	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IL27	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	4	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IL2RG	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ITGAV	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
KCNMA1	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
KRTCAP3	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
LIMS1	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
LRRK2	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	4	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
MAD1L1	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
NOS2	NO_GO_RESIDUAL	3.9	2	False	False	False	False	True	True	False	False	False	2	3	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PILRA	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
SDC4	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
TRIQK	NO_GO_RESIDUAL	3.9	2	False	False	True	False	True	False	False	False	False	2	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CD274	NO_GO_RESIDUAL	3.8	3	False	True	False	False	True	True	False	True	False	4	1	strict_blocker_text;no_fdr_grade_ms;no_modality	NO_GO_FRESH_SCAN	  NO_REOPEN_BLOCKED_BRANCH prior global survivor audit marked a blocked branch NO_GO_WAVE62_TARGET_RESOLUTION
ACTRT3	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ANKRD27	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
B2M	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CEP43	NO_GO_RESIDUAL	3.7	2	False	False	False	False	True	True	False	False	False	1	4	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
CPEB4	NO_GO_RESIDUAL	3.7	2	False	False	False	False	True	True	False	False	False	1	5	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
EIF3E	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
LRRC7	NO_GO_RESIDUAL	3.7	2	False	True	False	False	False	True	False	True	False	1	3	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state;no_modality	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE perturbation/model support exists but critical MS/genetics/modality/direction gates fail 
NMT2	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
RAD51B	NO_GO_RESIDUAL	3.7	2	False	False	False	False	True	True	False	False	False	1	5	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
RASAL1	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
RPL17	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
TNFRSF14	NO_GO_RESIDUAL	3.7	2	False	False	False	False	True	True	False	False	False	1	7	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
TNFSF11	NO_GO_RESIDUAL	3.7	2	False	False	False	False	True	True	False	False	False	1	4	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
TXNRD1	NO_GO_RESIDUAL	3.7	2	False	False	True	False	True	False	False	False	False	1	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
UBE2L3	NO_GO_RESIDUAL	3.7	2	False	False	False	False	True	True	False	False	False	1	4	no_fdr_grade_ms;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IFI30	NO_GO_RESIDUAL	3.5999999999999996	3	False	True	False	False	True	True	True	False	False	3	0	strict_blocker_text;no_fdr_grade_ms;no_modality	NO_GO_FRESH_SCAN	NO_GO_DIRECT_ANTIGEN_PROCESSING_HOST_DEFENSE_AND_POOR_DRUGGABILITY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   
IL7R	NO_GO_RESIDUAL	3.5999999999999996	3	False	True	False	False	True	True	False	True	False	3	7	strict_blocker_text;no_fdr_grade_ms;no_modality	NO_GO_FRESH_SCAN	  PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED IL7R genetics/druggability but prior audited and broad T-cell biology PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
AHCTF1	NO_GO_RESIDUAL	3.5	2	False	True	True	False	False	False	False	True	False	0	0	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_modality	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE perturbation/model support exists but critical MS/genetics/modality/direction gates fail 
ASAH1	NO_GO_RESIDUAL	3.5	2	False	False	True	False	False	False	False	True	False	0	0	no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_modality	NO_GO_FRESH_SCAN	  sphingolipid enzyme route prior audited; no translational specificity 
CTSB	NO_GO_RESIDUAL	3.4000000000000004	3	False	True	False	False	False	True	True	True	False	2	1	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state;no_modality	NO_GO_FRESH_SCAN	NO_GO_BROAD_CATHEPSIN_HOST_DEFENSE_AND_PROTEASE_SELECTIVITY NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR NO_REOPEN_INSUFFICIENT_CONVERGENCE cathepsin/lysosomal protease route prior audited and nonspecific NO_GO_WAVE62_TARGET_RESOLUTION
JAK1	NO_GO_RESIDUAL	3.4000000000000004	3	False	True	False	False	True	True	False	True	False	2	3	strict_blocker_text;no_fdr_grade_ms;no_modality	NO_GO_FRESH_SCAN	  JAK/IFN broad immunosuppression/prior art NO_GO_WAVE62_TARGET_RESOLUTION
HDAC7	NO_GO_RESIDUAL	3.4	2	False	True	False	False	False	True	False	False	True	2	5	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
CCL20	NO_GO_RESIDUAL	3.3	3	False	True	False	False	True	True	False	False	True	4	5	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
PTPN2	NO_GO_RESIDUAL	3.3	3	False	True	False	False	True	True	False	False	True	4	9	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED TCPTP_restoration_not_currently_druggable; prior_branch_blocker_or_directionality_unresolved NO_GO_WAVE62_TARGET_RESOLUTION
SP140	NO_GO_RESIDUAL	3.3	3	False	True	False	False	True	True	False	False	True	4	6	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_BLOCKED_BRANCH closed prior SP140 branch: direct modulation is prior-art/chemistry-limited and retained only as comparator or Crohn-loss stratification PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
CCL2	NO_GO_RESIDUAL	3.2	3	False	True	False	False	True	True	True	False	False	1	5	strict_blocker_text;no_fdr_grade_ms;no_modality	NO_GO_FRESH_SCAN	NO_GO_BROAD_CHEMOKINE_REDUNDANCY_AND_PRIOR_ART NO_GO_NO_MS_WHITE_MATTER_SINGLE_GENE_ANCHOR   
COQ4	NO_GO_RESIDUAL	3.2	2	False	True	False	False	True	False	False	True	False	1	0	strict_blocker_text;no_fdr_grade_ms;no_genetics;no_modality	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE perturbation/model support exists but critical MS/genetics/modality/direction gates fail 
RGS14	NO_GO_RESIDUAL	3.2	2	False	True	False	False	False	True	False	False	True	1	4	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support PARK_MS_TARGET_RESOLVED_NO_CROSS_DISEASE_MODULE
PLEK	NO_GO_RESIDUAL	3.1	2	False	True	False	False	True	False	False	False	True	3	1	strict_blocker_text;no_fdr_grade_ms;no_genetics;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
PTPN11	NO_GO_RESIDUAL	3.1	2	False	True	False	False	True	False	False	False	True	3	1	strict_blocker_text;no_fdr_grade_ms;no_genetics;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
CARMIL1	NO_GO_RESIDUAL	3.0999999999999996	3	False	True	False	False	True	True	False	False	True	3	6	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
CCDC88B	NO_GO_RESIDUAL	3.0999999999999996	3	False	True	False	False	True	True	False	False	True	3	4	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
ETV7	NO_GO_RESIDUAL	3.0999999999999996	3	False	True	False	False	True	True	False	False	True	3	2	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
GALC	NO_GO_RESIDUAL	3.0999999999999996	3	False	True	False	False	True	True	False	False	True	3	5	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE sphingolipid enzyme route prior audited; no translational specificity PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW
PRDM1	NO_GO_RESIDUAL	3.0999999999999996	3	False	True	False	False	True	True	False	False	True	3	6	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
SP110	NO_GO_RESIDUAL	3.0999999999999996	3	False	True	False	False	True	True	False	False	True	3	1	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
FOS	NO_GO_RESIDUAL	3.0	2	False	True	False	False	False	True	False	False	True	0	5	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support 
CD40	NO_GO_RESIDUAL	2.9000000000000004	3	False	True	False	False	False	True	False	True	True	2	8	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state	NO_GO_FRESH_SCAN	  NO_REOPEN_BLOCKED_BRANCH checkpoint/costimulation prior art and broad immune activation NO_GO_WAVE62_TARGET_RESOLUTION
ETS1	NO_GO_RESIDUAL	2.9000000000000004	3	False	True	False	False	True	True	False	False	True	2	5	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
MYC	NO_GO_RESIDUAL	2.9000000000000004	3	False	True	False	False	True	True	False	False	True	2	4	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  NO_REOPEN_INSUFFICIENT_CONVERGENCE candidate lacks direct perturbation or model support NO_GO_WAVE62_TARGET_RESOLUTION
STAT3	NO_GO_RESIDUAL	2.9000000000000004	3	False	True	False	False	True	True	False	False	True	2	5	strict_blocker_text;no_fdr_grade_ms;no_response_or_perturbation	NO_GO_FRESH_SCAN	  PARK_PRIOR_ART_OR_HOST_DEFENSE_PENALIZED prior global survivor audit marked prior-art or host-defense penalty NO_GO_WAVE62_TARGET_RESOLUTION
FCGR2A	NO_GO_RESIDUAL	2.7	3	False	True	False	False	False	True	False	True	True	1	5	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state	NO_GO_FRESH_SCAN	  NO_REOPEN_BLOCKED_BRANCH Fc receptor direction and safety blocked NO_GO_WAVE62_TARGET_RESOLUTION
JAK2	NO_GO_RESIDUAL	2.7	3	False	True	False	False	False	True	False	True	True	1	6	strict_blocker_text;no_fdr_grade_ms;no_broad_cell_state	NO_GO_FRESH_SCAN	  NO_REOPEN_BLOCKED_BRANCH JAK/IFN broad immunosuppression/prior art NO_GO_WAVE62_TARGET_RESOLUTION
CARD16	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
EEF1E1	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
FAM136A	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IFITM2	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	1	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IFITM3	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
IL15	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
JAK3	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
LRRC59	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
NLRC5	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	1	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
NME1	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
POMP	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PPIA	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PSME1	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
PSME2	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
TMEM167A	NO_GO_RESIDUAL	2.5	1	False	False	False	False	True	False	False	False	False	5	0	no_fdr_grade_ms;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ABCC3	NO_GO_RESIDUAL	2.4	1	False	False	True	False	False	False	False	False	False	2	0	no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
AFTPH	NO_GO_RESIDUAL	2.4	1	False	False	True	False	False	False	False	False	False	2	0	no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
AHR	NO_GO_RESIDUAL	2.4	1	False	False	False	False	False	True	False	False	False	2	4	no_fdr_grade_ms;no_broad_cell_state;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
AMZ2	NO_GO_RESIDUAL	2.4	1	False	False	True	False	False	False	False	False	False	2	0	no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ATF5	NO_GO_RESIDUAL	2.4	1	False	False	True	False	False	False	False	False	False	2	0	no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	  candidate lacks direct perturbation or model support 
ATP1B1	NO_GO_RESIDUAL	2.4	1	False	False	True	False	False	False	False	False	False	2	0	no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
ATP6V1F	NO_GO_RESIDUAL	2.4	1	False	False	True	False	False	False	False	False	False	2	0	no_fdr_grade_ms;no_broad_cell_state;no_genetics;no_response_or_perturbation;no_modality	NO_GO_FRESH_SCAN	    
