gene	wave18_call	wave18_rescue_score	local_evidence_score	druggability_access_score	prior_art_saturation_penalty	direction_penalty	class	accessibility	modality	direction	wave18_call_reason	local_recurrence_disease_count_union	local_recurrence_disease_union	local_state_coupled_disease_count_union	local_state_coupled_disease_union	broad_positive_disease_count	broad_negative_disease_count	broad_positive_diseases	broad_negative_diseases	broad_ms_wm_delta_log2	broad_ms_wm_p	broad_discovery_priority_score	cross_trend_or_better_diseases	cross_negative_trend_diseases	cross_supporting_diseases	surface_delta_trend_diseases	surface_delta_fdr10_diseases	surface_negative_delta_diseases	surface_resid_state_diseases	surface_raw_state_diseases	surface_confounder_dominant_diseases	surface_rank_score	surface_local_call	surface_delta_supporting_diseases	surface_resid_supporting_diseases	surface_reason	orchestrator_class	orchestrator_expr_trend_diseases	orchestrator_expr_negative_diseases	orchestrator_resid_state_diseases	orchestrator_raw_state_diseases	orchestrator_priority_score	orchestrator_expression_supporting_diseases	orchestrator_resid_supporting_diseases	axis_mentions	axis_mentioned_disease_count	axis_mentioned_diseases	existing_positive_rows	existing_negative_rows	existing_positive_diseases	existing_negative_diseases	local_opentargets_disease_rows	local_opentargets_diseases	local_opentargets_max_overall	local_opentargets_max_genetic_association	europepmc_hit_count	clinical_trials_hit_count	clinical_trials_returned_count	chembl_target_chembl_id	chembl_target_pref_name	chembl_target_type	chembl_activity_records	europepmc_url	clinical_trials_url	chembl_url	opentargets_url	google_patents_url	blocked_status_note
CHI3L1	PARK	3.5	4.5	2	3	0	secreted chitinase-like inflammatory glycoprotein	secreted_protein	neutralizing antibody or ligand/receptor-axis modulation	inhibition might reduce inflammatory tissue remodeling; biomarker role dominates	local recurrence below promotion threshold (3<4 disease union); state-coupled support below threshold (0<4 disease union); prior-art saturation high (EuropePMC=1833, ClinicalTrials=9)	3	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	0		3	0	Crohn disease;type 1 diabetes mellitus;ulcerative colitis		2.006853151074319	0.0046126032857275	23.246925582569283	0	0		0	0	0	0	0	0							0	0	0	0					0		1	0	MS		0		0	0	1833	9	9	CHEMBL5724768	Chitinase-3-like protein 1	SINGLE PROTEIN	39	https://europepmc.org/search?query=%28%22CHI3L1%22+OR+%22YKL-40%22%29+autoimmune	https://clinicaltrials.gov/search?term=CHI3L1+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5724768	https://platform.opentargets.org/search?q=CHI3L1	https://patents.google.com/?q=CHI3L1+YKL-40+antibody+autoimmune+disease	
LGALS9	NO_GO	14.6	16.6	3	3	2	galectin-9 glycan checkpoint	secreted_lectin	recombinant Gal-9/antibody modulation	tolerance-promoting versus inflammatory effects are context-dependent	prior-art saturation high (EuropePMC=2649, ClinicalTrials=3); intervention direction is repair/checkpoint-context dependent; NO_GO prior Wave15/Wave16 crowded and directionally complex	4	Hashimoto thyroiditis;psoriasis;type 1 diabetes mellitus;ulcerative colitis	7	MS;Sjogren syndrome;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	2	0	type 1 diabetes mellitus;ulcerative colitis		0.2021351296490117	0.5166688988096573	8.0	0	0		4	1	0	7	9	3	27.25	GO_SCOUT	Hashimoto thyroiditis;psoriasis;type 1 diabetes mellitus;ulcerative colitis	MS;Sjogren syndrome;celiac disease;psoriasis;rheumatoid arthritis;type 1 diabetes mellitus;ulcerative colitis	passes local dependency gate	glycan_checkpoint_surface	3	0	2	3	7.5	psoriasis;type 1 diabetes mellitus;ulcerative colitis	psoriasis;rheumatoid arthritis		0		0	0			0		0	0	2649	3	3	CHEMBL5474	Galectin-9	SINGLE PROTEIN	191	https://europepmc.org/search?query=%28%22LGALS9%22+OR+%22galectin-9%22%29+autoimmune	https://clinicaltrials.gov/search?term=galectin-9+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5474	https://platform.opentargets.org/search?q=LGALS9	https://patents.google.com/?q=galectin-9+autoimmune+disease	NO_GO prior Wave15/Wave16 crowded and directionally complex
C1QB	NO_GO	5.95	10.95	2	5	2	classical complement ligand	secreted_complement	anti-C1q/classical-complement inhibition	same as C1QA; double-edged clearance biology	local recurrence below promotion threshold (2<4 disease union); directional contradictions/negative trends present (broad=0, surface=0, orchestrator=1); confounder/myeloid dominance high in surface screen (5 diseases); prior-art saturation high (EuropePMC=11628, ClinicalTrials=10); intervention direction is repair/checkpoint-context dependent	2	Hashimoto thyroiditis;Sjogren syndrome	6	Crohn disease;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	0	Sjogren syndrome		-0.6194027951632819	0.0267818944347562	6.810185110858422	1	1	Sjogren syndrome	2	1	0	5	5	5	15.75	NO_GO	Hashimoto thyroiditis;Sjogren syndrome	Crohn disease;Sjogren syndrome;celiac disease;psoriasis;ulcerative colitis	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	1	1	3	2	5.75	Sjogren syndrome	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	complement_phagocytosis	3	SLE_LN;Crohn;psoriasis	10	0	Crohn;SLE_myeloid;UC;lupus_nephritis;psoriasis		1	SLE	0.46439776835491264	0	11628	10	10					https://europepmc.org/search?query=%28%22C1QB%22+OR+C1q%29+autoimmune	https://clinicaltrials.gov/search?term=C1q+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=C1QB	https://platform.opentargets.org/search?q=C1QB	https://patents.google.com/?q=anti-C1q+autoimmune+lupus+nephritis	
FCGR3A	NO_GO	5.7	7.7	2	4	0	Fc-gamma receptor uptake receptor	membrane_receptor	Fc engineering, blocking/agonist antibodies	direction depends on immune-complex disease context	local recurrence below promotion threshold (2<4 disease union); directional contradictions/negative trends present (broad=0, surface=0, orchestrator=1); confounder/myeloid dominance high in surface screen (6 diseases); prior-art saturation high (EuropePMC=2606, ClinicalTrials=6)	2	psoriasis;ulcerative colitis	5	Crohn disease;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus	1	0	psoriasis		-0.4958427503615858	0.0731656339488277	4.557932446434002	0	0		2	0	0	4	4	6	10.5	NO_GO	psoriasis;ulcerative colitis	Crohn disease;celiac disease;psoriasis;type 1 diabetes mellitus	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	2	1	3	1	6.25	psoriasis;ulcerative colitis	Crohn disease;Sjogren syndrome;type 1 diabetes mellitus		0		4	0	Crohn;UC		0		0	0	2606	6	6	CHEMBL3856162	Low affinity immunoglobulin gamma Fc region receptor III-A	SINGLE PROTEIN	0	https://europepmc.org/search?query=%28%22FCGR3A%22+OR+CD16A%29+autoimmune	https://clinicaltrials.gov/search?term=FCGR3A+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL3856162	https://platform.opentargets.org/search?q=FCGR3A	https://patents.google.com/?q=FCGR3A+CD16A+autoimmune+Fc+receptor	
TREM2	NO_GO	5.7	6.7	2	2	1	lipid/efferocytosis myeloid receptor	membrane_receptor	agonistic antibody in principle; CNS delivery difficult	agonism/repair-preserving activation more plausible than blockade	local recurrence below promotion threshold (1<4 disease union); confounder/myeloid dominance high in surface screen (6 diseases)	1	celiac disease	5	Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	0	0			0.1899583473475061	0.612719290366184	1.3473480907518938	0	0		1	0	0	4	5	6	10.1875	NO_GO	celiac disease	Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	0	0	2	0	3.0		type 1 diabetes mellitus;ulcerative colitis	lipid_loader_repair,complement_phagocytosis	2	RA;SLE_LN	4	1	lupus_nephritis;psoriasis	RA	0		0	0	3393	2	2	CHEMBL6196124	Triggering receptor expressed on myeloid cells 2	SINGLE PROTEIN	6	https://europepmc.org/search?query=%28%22TREM2%22+OR+%22TREM-2%22%29+autoimmune	https://clinicaltrials.gov/search?term=TREM2+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL6196124	https://platform.opentargets.org/search?q=TREM2	https://patents.google.com/?q=TREM2+agonist+autoimmune+multiple+sclerosis	
FCGR2A	NO_GO	5.6	6.6	2	3	0	Fc-gamma receptor uptake receptor	membrane_receptor	Fc engineering, blocking/agonist antibodies	direction depends on immune-complex disease context	local recurrence below promotion threshold (3<4 disease union); directional contradictions/negative trends present (broad=1, surface=0, orchestrator=0); confounder/myeloid dominance high in surface screen (9 diseases); prior-art saturation high (EuropePMC=1323, ClinicalTrials=1)	3	Hashimoto thyroiditis;Sjogren syndrome;ulcerative colitis	5	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	1	Sjogren syndrome	psoriasis	-0.1533819091799007	0.582735290071486	0.0	0	0		3	1	0	5	5	9	14.25	NO_GO	Hashimoto thyroiditis;Sjogren syndrome;ulcerative colitis	Crohn disease;Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	2	0	0	2	3.0	Sjogren syndrome;ulcerative colitis			0		0	0			0		0	0	1323	1	1	CHEMBL5841	Low affinity immunoglobulin gamma Fc region receptor II-a	SINGLE PROTEIN	1	https://europepmc.org/search?query=%28%22FCGR2A%22+OR+%22Fc+gamma+receptor+IIA%22%29+autoimmune	https://clinicaltrials.gov/search?term=FCGR2A+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL5841	https://platform.opentargets.org/search?q=FCGR2A	https://patents.google.com/?q=FCGR2A+autoimmune+Fc+receptor+antibody	
C1QA	NO_GO	4.25	8.25	2	5	1	classical complement ligand	secreted_complement	anti-C1q/classical-complement inhibition	inhibit only in biomarker-defined classical-complement injury; C1q also protective	local recurrence below promotion threshold (2<4 disease union); directional contradictions/negative trends present (broad=1, surface=0, orchestrator=1); confounder/myeloid dominance high in surface screen (7 diseases); prior-art saturation high (EuropePMC=11787, ClinicalTrials=10)	2	Hashimoto thyroiditis;Sjogren syndrome	6	Crohn disease;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	1	1	Sjogren syndrome	ulcerative colitis	-0.6196742601671481	0.0106910547297546	2.5252541811878038	0	1		2	1	0	6	6	7	17.25	NO_GO	Hashimoto thyroiditis;Sjogren syndrome	Crohn disease;Sjogren syndrome;celiac disease;psoriasis;type 1 diabetes mellitus;ulcerative colitis	confounder/myeloid coupling dominates state coupling	uptake_complement_phagocytosis	1	1	3	1	5.25	Sjogren syndrome	Crohn disease;type 1 diabetes mellitus;ulcerative colitis	complement_phagocytosis	1	SLE_LN	10	0	Crohn;Sjogren;UC;lupus_nephritis;psoriasis		1	SLE	0.3868715109075108	0	11787	10	10					https://europepmc.org/search?query=%28%22C1QA%22+OR+C1q%29+autoimmune	https://clinicaltrials.gov/search?term=C1q+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=C1QA	https://platform.opentargets.org/search?q=C1QA	https://patents.google.com/?q=anti-C1q+autoimmune+lupus+nephritis	
TREM1	NO_GO	3.75	3.75	2	2	0	amplifying myeloid receptor	membrane_receptor	inhibitory peptide/antibody; nangibotide-like route	inhibit acute myeloid amplification; chronic autoimmune state breadth is weak	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	2	Crohn disease;ulcerative colitis	0		2	0	Crohn disease;ulcerative colitis		0.1491506549885279	0.7752316091249384	9.5	2	0	Crohn disease;ulcerative colitis	0	0	0	0	0	0							0	0	0	0				ifn_apc	1	UC	0	0			3	Crohn;celiac;psoriasis	0.08926724489414879	0	1613	2	2	CHEMBL1697674	Triggering receptor expressed on myeloid cells 1	SINGLE PROTEIN	0	https://europepmc.org/search?query=%28%22TREM1%22+OR+%22TREM-1%22%29+autoimmune	https://clinicaltrials.gov/search?term=TREM1+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1697674	https://platform.opentargets.org/search?q=TREM1	https://patents.google.com/?q=TREM1+inhibitor+autoimmune+inflammatory+bowel+disease	
LILRB1	NO_GO	3.0	3.0	2	2	0	inhibitory myeloid/HLA receptor	membrane_receptor	antibody modulation	agonism may suppress APC activation; oncology antagonist precedent cuts opposite direction	local recurrence below promotion threshold (2<4 disease union); state-coupled support below threshold (0<4 disease union)	2	Crohn disease;ulcerative colitis	0		2	0	Crohn disease;ulcerative colitis		-0.2480039987346405	0.3035041507515239	8.0	0	0		0	0	0	0	0	0							0	0	0	0					0		0	0			0		0	0	1026	1	1					https://europepmc.org/search?query=%28%22LILRB1%22+OR+ILT2%29+autoimmune	https://clinicaltrials.gov/search?term=LILRB1+autoimmune	https://www.ebi.ac.uk/chembl/g/#search_results/all/query=LILRB1	https://platform.opentargets.org/search?q=LILRB1	https://patents.google.com/?q=LILRB1+ILT2+autoimmune+antibody	
SPP1	NO_GO	2.5	7.5	2	5	2	secreted osteopontin/CD44-integrin axis	secreted_ligand	neutralizing antibody/aptamer or receptor-axis blockade	blockade may reduce inflammatory retention but repair/fibrosis direction is context-dependent	local recurrence below promotion threshold (3<4 disease union); confounder/myeloid dominance high in surface screen (8 diseases); prior-art saturation high (EuropePMC=7405, ClinicalTrials=10); intervention direction is repair/checkpoint-context dependent	3	Hashimoto thyroiditis;type 1 diabetes mellitus;ulcerative colitis	4	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	2	0	type 1 diabetes mellitus;ulcerative colitis		0.0019111874426158	0.994792495277153	11.135984303587598	1	0	type 1 diabetes mellitus	2	1	0	4	6	8	12.375	NO_GO	Hashimoto thyroiditis;type 1 diabetes mellitus	Sjogren syndrome;psoriasis;type 1 diabetes mellitus;ulcerative colitis	confounder/myeloid coupling dominates state coupling; strong local state biology but weak direct druggability/tractable modulation		0	0	0	0				lipid_loader_repair	2	RA;Crohn	8	0	Crohn;RA;UC;psoriasis		0		0	0	7405	10	10	CHEMBL1741309	Osteopontin	SINGLE PROTEIN	0	https://europepmc.org/search?query=%28%22SPP1%22+OR+osteopontin%29+autoimmune	https://clinicaltrials.gov/search?term=osteopontin+autoimmune	https://www.ebi.ac.uk/chembl/g/#browse/activities/filter/target_chembl_id%3ACHEMBL1741309	https://platform.opentargets.org/search?q=SPP1	https://patents.google.com/?q=osteopontin+SPP1+autoimmune+antibody	
