gene	phenotype_strength_lfc	contrast_fdr	efficient_consistent_positive	state_recurrence	broad_positive_disease_count	positive_contexts	ms_anchor	ms_delta_log2	ms_p	modality_or_accessible_route	chembl_target_id	druggability_activity_or_target_count	genetic_anchor_annotation	strong_l2g_disease_count	strong_qtl_coloc_disease_count	wave81_call	wave82_call	gene_class	intervention_route_read	hard_blocked_annotation	pivot_score	promote	blockers	prior_annotation
ANKUB1	0.7092927600471219	0.920009505703422	True	False	0.0		False	-1.2693646866680273	0.2100113496282079	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.127878280141366	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
DNAH9	0.6986723504031553	0.920009505703422	True	False	0.0		False	-1.8230947503604025	0.2980806846969469	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.096017051209466	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
OBFC1	0.6898050063597292	0.9971256078463696	True	False	0.0		False	-0.0286067267747522	0.9064160647311352	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.0694150190791873	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
PLSCR4	0.6893870135379143	0.9971256078463696	True	False	0.0		False	-1.1416657903505385	0.404356273022419	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.068161040613743	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
BPIFB2	0.6841443263343	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.0524329790029	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
NDST4	0.678671127146643	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.036013381439929	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
4732456N10RIK	0.674675914375128	0.9971256078463696	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.0240277431253837	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail
TDRD1	0.667572709720756	0.920009505703422	True	False	0.0		False	-0.8082283949839004	0.4256531769612471	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	2.002718129162268	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
PPID	0.5979604012705857	0.9971256078463696	True	False	1.0	t1d_endothelial_cell	False	0.2970462380102727	0.2017042961574526	False		0.0	False	0.0	0.0					False	1.993881203811757	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
KLHL33	0.6600517547213092	1.0	True	False	0.0		False	0.0937445244466315	0.9391868189731134	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	1.9801552641639275	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
HADHB	0.6585797676778689	0.920009505703422	True	False	0.0		False	0.0918642518435639	0.5702518246064191	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE				False	1.9757393030336066	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail |      
H2-M1	0.6535091677864131	0.9971256078463696	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.9605275033592393	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
GRID2	0.6505091159480573	0.9971256078463696	True	False	0.0		False	0.3547864382852932	0.761444514214192	False		0.0	False	0.0	0.0					False	1.9515273478441717	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
PBXIP1	0.58356295785237	0.9965506589785832	True	False	1.0	t1d_ductal_cell	False	-0.0837548476513738	0.6165409165902055	False		0.0	False	0.0	0.0					False	1.95068887355711	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
SEMA5B	0.6501880204635433	0.920009505703422	True	False	0.0		False	-0.5024508263598222	0.6257382408748321	False		0.0	False	1.0	0.0					False	1.9505640613906299	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	  NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
NFKBIZ	0.6299464031376492	0.920009505703422	True	False	0.0		False	0.0370507959818766	0.8969292908307444	False		0.0	False	0.0	0.0					False	1.8898392094129475	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	  NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker
TSPO	0.559017145897855	0.920009505703422	True	False	1.0	ibd_crohn_myeloid	False	-0.2391314299510138	0.2593651508945864	False		0.0	False	0.0	0.0					False	1.877051437693565	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
KRTAP19-5	0.6240765229166133	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.87222956874984	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
YBX1	0.5510678120071477	0.9971256078463696	True	False	1.0	sjogren_gland_apc	False	0.2401260718405868	0.0768832482097516	False		0.0	False	0.0	0.0					False	1.853203436021443	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
CCNJ	0.6177052987012361	0.9971256078463696	True	False	0.0		False	-0.06554676041576	0.7336928245839152	False		0.0	False	0.0	0.0					False	1.8531158961037084	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
SRR	0.6165454584805455	0.920009505703422	True	False	0.0		False	0.8934823312865952	0.217420691244909	False		0.0	False	0.0	0.0					False	1.8496363754416367	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
NDUFV3	0.5493777324277445	0.920009505703422	True	False	1.0	sjogren_gland_apc	False	-0.3460232445599303	0.0754322654204795	False		0.0	False	0.0	0.0					False	1.8481331972832333	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
ENTPD8	0.615982037650057	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.8479461129501709	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
SEC14L4	0.6112508984086826	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.833752695226048	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
4922502D21RIK	0.6083144145263334	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.8249432435790003	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
JAG2	0.6066951934490707	1.0	True	False	0.0		False	-0.6994706073309587	0.0223768457329204	False		0.0	False	0.0	0.0					False	1.8200855803472122	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
SENP6	0.5932302432320785	0.9965506589785832	True	False	0.0		False	-0.0426120410630677	0.7073759413755539	False		0.0	False	0.0	0.0					False	1.7796907296962354	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
ILDR1	0.5186894387470492	0.9965506589785832	True	False	1.0	t1d_ductal_cell	False	0.8287277888631279	0.4587975739989457	False		0.0	False	0.0	0.0					False	1.7560683162411477	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	  NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker
ANXA8	0.5741927722498432	0.9971256078463696	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.7225783167495297	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
GCNT2	0.5053405361720977	0.920009505703422	True	False	1.0	t1d_endothelial_cell	False	-0.0060137239584676	0.9825546474786508	False		0.0	False	0.0	0.0					False	1.7160216085162932	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
OLFR148	0.5713050327433113	1.0	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.713915098229934	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
SDPR	0.57026300702813	0.9971256078463696	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.7107890210843901	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
SEC24A	0.5695177486902621	0.920009505703422	True	False	0.0		False	0.431586029821231	0.1685837048117001	False		0.0	False	0.0	0.0					False	1.7085532460707862	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
AGPS	0.5653249603772575	0.9965506589785832	True	False	0.0		False	-0.1790545882116099	0.5690400691651726	False		0.0	False	0.0	0.0					False	1.6959748811317725	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
OLFR1277	0.5645912312649698	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.6937736937949093	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
TCERG1L	0.5591105830809453	0.9971256078463696	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.677331749242836	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
OLFR520	0.558768838238757	1.0	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.676306514716271	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
PARD3	0.552224561771612	0.920009505703422	True	False	0.0		False	0.0811973195248985	0.9448236103277968	False		0.0	False	0.0	0.0					False	1.656673685314836	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
LMOD1	0.5498606988728605	0.920009505703422	True	False	0.0		False	-0.3632715864255962	0.7889614941017652	False		0.0	False	0.0	0.0					False	1.6495820966185815	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
OLFR788	0.5473926778508036	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.6421780335524108	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
IGFALS	0.5468550156161243	0.9971256078463696	True	False	0.0		False	1.0563264845175735	0.2825451535397221	False		0.0	False	0.0	0.0					False	1.6405650468483728	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
CAMK1	0.5414778255305832	0.920009505703422	True	False	0.0		False	-0.5148686668758939	0.5503992273191655	False		0.0	False	0.0	0.0					False	1.6244334765917496	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
MIS18BP1	0.5376484922984652	0.9971256078463696	True	False	0.0		False	0.1183109711440835	0.5971418393131409	False		0.0	False	0.0	0.0					False	1.6129454768953957	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
PRPS1	0.5357108950095439	0.920009505703422	True	False	0.0		False	-0.1274125177803782	0.5920750406410403	False		0.0	False	0.0	0.0					False	1.6071326850286318	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
LY6G6D	0.53496709143551	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.60490127430653	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
TAOK1	0.5302187728266258	1.0	True	False	0.0		False	0.1322306173260514	0.5140109944686609	False		0.0	False	0.0	0.0					False	1.5906563184798772	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
ASB8	0.5292250202234023	0.920009505703422	True	False	0.0		False	0.1681065841818565	0.4504464752576244	False		0.0	False	0.0	0.0					False	1.587675060670207	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
OLFR694	0.5290727735235623	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.587218320570687	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
PHF11B	0.521062203804875	0.920009505703422	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.5631866114146251	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
PPM1A	0.5166231399037364	0.920009505703422	True	False	0.0		False	0.1166725470170817	0.3826867718729936	False		0.0	False	0.0	0.0					False	1.5498694197112093	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
SLC47A2	0.5110417107189944	0.920009505703422	True	False	0.0		False	-1.8449808020653249	0.2047559243985068	False		0.0	False	0.0	0.0					False	1.5331251321569832	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
LAX1	0.510019369820705	1.0	True	False	0.0		False	-0.0313180668221479	0.9787479859630216	False		0.0	False	0.0	0.0					False	1.5300581094621148	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
MS4A4B	0.5083350979631166	0.9965506589785832	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.52500529388935	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	
CRYGD	0.5020662558035907	0.9971256078463696	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.506198767410772	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
LRRC63	0.5001544054904983	1.0	True	False	0.0		False	0.0	1.0	False		0.0	False	0.0	0.0					False	1.5004632164714948	False	insufficient_autoimmune_state_recurrence;no_ms_anchor;no_intervention_handle;no_genetic_anchor_annotation	     
DAB2	0.6555390813258746	0.9965506589785832	True	False	1.0	t1d_acinar_cell	True	0.5378984279794476	0.0111306912319104	False		0.0	False	0.0	0.0	PARK_PERTURBATION_FIRST_CANDIDATE	PARK_READOUT_OR_PRECLINICAL_PROBE	intracellular endocytic/adaptor protein	no selective direct modality; possible pathway/readout only	True	1.166617243977624	False	insufficient_autoimmune_state_recurrence;no_intervention_handle;prior_or_modality_blocker;no_genetic_anchor_annotation	perturbation/model support exists but critical MS/genetics/modality/direction gates fail | adaptor_not_druggable_directly | insufficient_cross_disease_state_breadth;no_direct_modality_or_accessible_route;adaptor_not_druggable_directly | PARK_READOUT_OR_PRECLINICAL_PROBE |      
